LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Abaza,Instrument and locative,,http://wals.info/valuesets/109B-abz,http://wals.info/languoid/lect/wals_code_abz,http://wals.info/feature/109B,
Abkhaz,Instrument,,http://wals.info/valuesets/109B-abk,http://wals.info/languoid/lect/wals_code_abk,http://wals.info/feature/109B,
Acoma,No other roles (= Only benefactive),,http://wals.info/valuesets/109B-aco,http://wals.info/languoid/lect/wals_code_aco,http://wals.info/feature/109B,
Ainu,Instrument and locative,,http://wals.info/valuesets/109B-ain,http://wals.info/languoid/lect/wals_code_ain,http://wals.info/feature/109B,
Alamblak,No other roles (= Only benefactive),,http://wals.info/valuesets/109B-ala,http://wals.info/languoid/lect/wals_code_ala,http://wals.info/feature/109B,
Amele,No other roles (= Only benefactive),,http://wals.info/valuesets/109B-ame,http://wals.info/languoid/lect/wals_code_ame,http://wals.info/feature/109B,
Apurinã,No applicative construction,,http://wals.info/valuesets/109B-apu,http://wals.info/languoid/lect/wals_code_apu,http://wals.info/feature/109B,
Arabic (Egyptian),No applicative construction,,http://wals.info/valuesets/109B-aeg,http://wals.info/languoid/lect/wals_code_aeg,http://wals.info/feature/109B,
Arapesh (Mountain),Locative,,http://wals.info/valuesets/109B-arp,http://wals.info/languoid/lect/wals_code_arp,http://wals.info/feature/109B,
Archi,No applicative construction,,http://wals.info/valuesets/109B-arc,http://wals.info/languoid/lect/wals_code_arc,http://wals.info/feature/109B,
Armenian (Eastern),No applicative construction,,http://wals.info/valuesets/109B-arm,http://wals.info/languoid/lect/wals_code_arm,http://wals.info/feature/109B,
Asmat,No other roles (= Only benefactive),,http://wals.info/valuesets/109B-asm,http://wals.info/languoid/lect/wals_code_asm,http://wals.info/feature/109B,
Awa Pit,No applicative construction,,http://wals.info/valuesets/109B-awp,http://wals.info/languoid/lect/wals_code_awp,http://wals.info/feature/109B,
Bagirmi,No applicative construction,,http://wals.info/valuesets/109B-bag,http://wals.info/languoid/lect/wals_code_bag,http://wals.info/feature/109B,
Barasano,No applicative construction,,http://wals.info/valuesets/109B-brs,http://wals.info/languoid/lect/wals_code_brs,http://wals.info/feature/109B,
Basque,No applicative construction,,http://wals.info/valuesets/109B-bsq,http://wals.info/languoid/lect/wals_code_bsq,http://wals.info/feature/109B,
Berber (Middle Atlas),No applicative construction,,http://wals.info/valuesets/109B-bma,http://wals.info/languoid/lect/wals_code_bma,http://wals.info/feature/109B,
Brahui,No applicative construction,,http://wals.info/valuesets/109B-brh,http://wals.info/languoid/lect/wals_code_brh,http://wals.info/feature/109B,
Burmese,No applicative construction,,http://wals.info/valuesets/109B-brm,http://wals.info/languoid/lect/wals_code_brm,http://wals.info/feature/109B,
Burushaski,No other roles (= Only benefactive),,http://wals.info/valuesets/109B-bur,http://wals.info/languoid/lect/wals_code_bur,http://wals.info/feature/109B,
Cahuilla,Locative,,http://wals.info/valuesets/109B-cah,http://wals.info/languoid/lect/wals_code_cah,http://wals.info/feature/109B,
Canela-Krahô,No applicative construction,,http://wals.info/valuesets/109B-ckr,http://wals.info/languoid/lect/wals_code_ckr,http://wals.info/feature/109B,
Chaha,No other roles (= Only benefactive),,http://wals.info/valuesets/109B-chh,http://wals.info/languoid/lect/wals_code_chh,http://wals.info/feature/109B,
Chamorro,No other roles (= Only benefactive),,http://wals.info/valuesets/109B-cha,http://wals.info/languoid/lect/wals_code_cha,http://wals.info/feature/109B,
Chichewa,Instrument and locative,,http://wals.info/valuesets/109B-cic,http://wals.info/languoid/lect/wals_code_cic,http://wals.info/feature/109B,
Chukchi,No applicative construction,,http://wals.info/valuesets/109B-chk,http://wals.info/languoid/lect/wals_code_chk,http://wals.info/feature/109B,
Comanche,Instrument,,http://wals.info/valuesets/109B-cmn,http://wals.info/languoid/lect/wals_code_cmn,http://wals.info/feature/109B,
Cree (Plains),No other roles (= Only benefactive),,http://wals.info/valuesets/109B-cre,http://wals.info/languoid/lect/wals_code_cre,http://wals.info/feature/109B,
Daga,No applicative construction,,http://wals.info/valuesets/109B-dag,http://wals.info/languoid/lect/wals_code_dag,http://wals.info/feature/109B,
Dani (Lower Grand Valley),Locative,,http://wals.info/valuesets/109B-dni,http://wals.info/languoid/lect/wals_code_dni,http://wals.info/feature/109B,
Diyari,Locative,,http://wals.info/valuesets/109B-diy,http://wals.info/languoid/lect/wals_code_diy,http://wals.info/feature/109B,
Djingili,No applicative construction,,http://wals.info/valuesets/109B-dji,http://wals.info/languoid/lect/wals_code_dji,http://wals.info/feature/109B,
Dyirbal,Instrument,,http://wals.info/valuesets/109B-dyi,http://wals.info/languoid/lect/wals_code_dyi,http://wals.info/feature/109B,
English,No applicative construction,,http://wals.info/valuesets/109B-eng,http://wals.info/languoid/lect/wals_code_eng,http://wals.info/feature/109B,
Epena Pedee,No other roles (= Only benefactive),,http://wals.info/valuesets/109B-epe,http://wals.info/languoid/lect/wals_code_epe,http://wals.info/feature/109B,
Evenki,No applicative construction,,http://wals.info/valuesets/109B-eve,http://wals.info/languoid/lect/wals_code_eve,http://wals.info/feature/109B,
Ewe,No applicative construction,,http://wals.info/valuesets/109B-ewe,http://wals.info/languoid/lect/wals_code_ewe,http://wals.info/feature/109B,
Fijian,Locative,,http://wals.info/valuesets/109B-fij,http://wals.info/languoid/lect/wals_code_fij,http://wals.info/feature/109B,
Finnish,No applicative construction,,http://wals.info/valuesets/109B-fin,http://wals.info/languoid/lect/wals_code_fin,http://wals.info/feature/109B,
