LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Adang,(Neg)VNeg,"Haan 2001[ 73-74, 220]",http://wals.info/valuesets/143C-adg,http://wals.info/languoid/lect/wals_code_adg,http://wals.info/feature/143C,"http://wals.info/refdb/record/Haan-2001[ 73-74, 220]"
Adzera,[Neg-V](Neg),Holzknecht 1986[ 139],http://wals.info/valuesets/143C-adz,http://wals.info/languoid/lect/wals_code_adz,http://wals.info/feature/143C,http://wals.info/refdb/record/Holzknecht-1986[ 139]
Amele,NegV/[V-Neg]/Neg[V-Neg],Roberts 1987[ 110],http://wals.info/valuesets/143C-ame,http://wals.info/languoid/lect/wals_code_ame,http://wals.info/feature/143C,http://wals.info/refdb/record/Roberts-1987[ 110]
Anindilyakwa,Neg[(Neg-)]V,"Leeding 1989[ 407, 504-505]",http://wals.info/valuesets/143C-ann,http://wals.info/languoid/lect/wals_code_ann,http://wals.info/feature/143C,"http://wals.info/refdb/record/Leeding-1989[ 407, 504-505]"
Ao,[Neg-V(-Neg)],"Coupe 2007[ 291-292, 341]",http://wals.info/valuesets/143C-ao,http://wals.info/languoid/lect/wals_code_ao,http://wals.info/feature/143C,"http://wals.info/refdb/record/Coupe-2007[ 291-292, 341]"
Arabic (Egyptian),NegV/[Neg-V-Neg],Gary and Gamal-Eldin 1982[ 38],http://wals.info/valuesets/143C-aeg,http://wals.info/languoid/lect/wals_code_aeg,http://wals.info/feature/143C,http://wals.info/refdb/record/Gary-and-Gamal-Eldin-1982[ 38]
Arapesh (Mountain),NegV(Neg),Conrad and Wogiga 1991[ 99-101],http://wals.info/valuesets/143C-arp,http://wals.info/languoid/lect/wals_code_arp,http://wals.info/feature/143C,http://wals.info/refdb/record/Conrad-and-Wogiga-1991[ 99-101]
Barambu,[Neg-V](Neg),"Tucker and Bryan 1966[ 155];Santandrea 1965b[ 116, 163, 167]",http://wals.info/valuesets/143C-bbu,http://wals.info/languoid/lect/wals_code_bbu,http://wals.info/feature/143C,"http://wals.info/refdb/record/Tucker-and-Bryan-1966[ 155];http://wals.info/refdb/record/Santandrea-1965b[ 116, 163, 167]"
Belhare,[(Neg-)V-Neg],Bickel 2003[ 554],http://wals.info/valuesets/143C-bel,http://wals.info/languoid/lect/wals_code_bel,http://wals.info/feature/143C,http://wals.info/refdb/record/Bickel-2003[ 554]
Biloxi,[(Neg-)V]Neg,Einaudi 1976[ 86-88],http://wals.info/valuesets/143C-blx,http://wals.info/languoid/lect/wals_code_blx,http://wals.info/feature/143C,http://wals.info/refdb/record/Einaudi-1976[ 86-88]
Bimoba,NegV(Neg),"Jacobs 1970[ 99-101, 114, 128-129]",http://wals.info/valuesets/143C-bmb,http://wals.info/languoid/lect/wals_code_bmb,http://wals.info/feature/143C,"http://wals.info/refdb/record/Jacobs-1970[ 99-101, 114, 128-129]"
Boko,(Neg)VNeg,,http://wals.info/valuesets/143C-bok,http://wals.info/languoid/lect/wals_code_bok,http://wals.info/feature/143C,
Bolia,[Neg-V](Neg),Mamet 1960[ 58-59],http://wals.info/valuesets/143C-bol,http://wals.info/languoid/lect/wals_code_bol,http://wals.info/feature/143C,http://wals.info/refdb/record/Mamet-1960[ 58-59]
Bongo,(Neg)VNeg,"Santandrea 1963[ 58, 68]",http://wals.info/valuesets/143C-bgo,http://wals.info/languoid/lect/wals_code_bgo,http://wals.info/feature/143C,"http://wals.info/refdb/record/Santandrea-1963[ 58, 68]"
Catalan,NegV(Neg),Hualde 1992[ passim],http://wals.info/valuesets/143C-ctl,http://wals.info/languoid/lect/wals_code_ctl,http://wals.info/feature/143C,http://wals.info/refdb/record/Hualde-1992[ passim]
Chemehuevi,(Neg)[V-Neg],Press 1979[ 95],http://wals.info/valuesets/143C-cmh,http://wals.info/languoid/lect/wals_code_cmh,http://wals.info/feature/143C,http://wals.info/refdb/record/Press-1979[ 95]
Chimariko,[(Neg-)V-Neg],,http://wals.info/valuesets/143C-chi,http://wals.info/languoid/lect/wals_code_chi,http://wals.info/feature/143C,
Chrau,NegV(Neg),"Thomas 1971[ 144, 183]",http://wals.info/valuesets/143C-chr,http://wals.info/languoid/lect/wals_code_chr,http://wals.info/feature/143C,"http://wals.info/refdb/record/Thomas-1971[ 144, 183]"
Chuj,NegV(Neg),"Buenrostros 1991[ 35, 68]",http://wals.info/valuesets/143C-chj,http://wals.info/languoid/lect/wals_code_chj,http://wals.info/feature/143C,"http://wals.info/refdb/record/Buenrostros-1991[ 35, 68]"
Coptic,[Neg-V]/NegVNeg,,http://wals.info/valuesets/143C-cop,http://wals.info/languoid/lect/wals_code_cop,http://wals.info/feature/143C,
Domari,NegV/[V-Neg]/[Neg-V-Neg],"Macalister 1914[ 27-28, 38, 183]",http://wals.info/valuesets/143C-dom,http://wals.info/languoid/lect/wals_code_dom,http://wals.info/feature/143C,"http://wals.info/refdb/record/Macalister-1914[ 27-28, 38, 183]"
Duma,(Neg)VNeg,Adam 1954[ 77],http://wals.info/valuesets/143C-dma,http://wals.info/languoid/lect/wals_code_dma,http://wals.info/feature/143C,http://wals.info/refdb/record/Adam-1954[ 77]
Duna,VNeg/[Neg-V-Neg],,http://wals.info/valuesets/143C-dun,http://wals.info/languoid/lect/wals_code_dun,http://wals.info/feature/143C,
Ewondo,NegV or NegativeTone&VNeg,"Redden 1979[ 79, 86, 97]",http://wals.info/valuesets/143C-ewo,http://wals.info/languoid/lect/wals_code_ewo,http://wals.info/feature/143C,"http://wals.info/refdb/record/Redden-1979[ 79, 86, 97]"
French,(Neg)VNeg,,http://wals.info/valuesets/143C-fre,http://wals.info/languoid/lect/wals_code_fre,http://wals.info/feature/143C,
Fyem,(Neg)VNeg,Nettle 1998[ 48-49],http://wals.info/valuesets/143C-fye,http://wals.info/languoid/lect/wals_code_fye,http://wals.info/feature/143C,http://wals.info/refdb/record/Nettle-1998[ 48-49]
Gbeya Bossangoa,(Neg)VNeg,Samarin 1966[ 83],http://wals.info/valuesets/143C-gbb,http://wals.info/languoid/lect/wals_code_gbb,http://wals.info/feature/143C,http://wals.info/refdb/record/Samarin-1966[ 83]
Guhu-Samane,NegV/[V-Neg]/Neg[V-Neg],"Richert 1975[ 797, 787]",http://wals.info/valuesets/143C-guh,http://wals.info/languoid/lect/wals_code_guh,http://wals.info/feature/143C,"http://wals.info/refdb/record/Richert-1975[ 797, 787]"
Hausa,NegV(Neg),"Migeod 1914[ 179];Kraft and Kirk-Greene 1973[ 37];Newman 2000[ 357ff];Kraft 1963[ Vol. 1:125, 132-134, 149]",http://wals.info/valuesets/143C-hau,http://wals.info/languoid/lect/wals_code_hau,http://wals.info/feature/143C,"http://wals.info/refdb/record/Migeod-1914[ 179];http://wals.info/refdb/record/Kraft-and-Kirk-Greene-1973[ 37];http://wals.info/refdb/record/Newman-2000[ 357ff];http://wals.info/refdb/record/Kraft-1963[ Vol. 1:125, 132-134, 149]"
Hualapai,(Neg)VNeg,Watahomigie et al. 1982[ 155-159],http://wals.info/valuesets/143C-hlp,http://wals.info/languoid/lect/wals_code_hlp,http://wals.info/feature/143C,http://wals.info/refdb/record/Watahomigie-et-al-1982[ 155-159]
Ifira-Mele,[(Neg-)V]Neg,,http://wals.info/valuesets/143C-mxe,http://wals.info/languoid/lect/wals_code_mxe,http://wals.info/feature/143C,
Inanwatan,(Neg)[V-Neg],de Vries 1996[ 40],http://wals.info/valuesets/143C-ina,http://wals.info/languoid/lect/wals_code_ina,http://wals.info/feature/143C,http://wals.info/refdb/record/de-Vries-1996[ 40]
Kamaiurá,[(Neg-)V-Neg],Seki 2000[ 329-330],http://wals.info/valuesets/143C-kma,http://wals.info/languoid/lect/wals_code_kma,http://wals.info/feature/143C,http://wals.info/refdb/record/Seki-2000[ 329-330]
Kayabí,[(Neg-)V-Neg],Dobson 2005[33];Gomes 2007[ 173],http://wals.info/valuesets/143C-kyz,http://wals.info/languoid/lect/wals_code_kyz,http://wals.info/feature/143C,http://wals.info/refdb/record/Dobson-2005[33];http://wals.info/refdb/record/Gomes-2007[ 173]
Khaling,[Neg-V(-Neg)],Toba 1984[ 6],http://wals.info/valuesets/143C-khg,http://wals.info/languoid/lect/wals_code_khg,http://wals.info/feature/143C,http://wals.info/refdb/record/Toba-1984[ 6]
Kiliwa,(Neg)VNeg,"Mixco 1971[ 168, 231-232]",http://wals.info/valuesets/143C-klw,http://wals.info/languoid/lect/wals_code_klw,http://wals.info/feature/143C,"http://wals.info/refdb/record/Mixco-1971[ 168, 231-232]"
Kombai,[(Neg-)V-Neg],de Vries 1993[ 30],http://wals.info/valuesets/143C-kmb,http://wals.info/languoid/lect/wals_code_kmb,http://wals.info/feature/143C,http://wals.info/refdb/record/de-Vries-1993[ 30]
Kresh,(Neg)VNeg,"Brown 1994[ 165];Tucker and Bryan 1966[ 80-81];Santandrea 1976[ 61, 130]",http://wals.info/valuesets/143C-kre,http://wals.info/languoid/lect/wals_code_kre,http://wals.info/feature/143C,"http://wals.info/refdb/record/Brown-1994[ 165];http://wals.info/refdb/record/Tucker-and-Bryan-1966[ 80-81];http://wals.info/refdb/record/Santandrea-1976[ 61, 130]"
Kwoma,(Neg)[V-Neg],Kooyers 1974[ 50-52],http://wals.info/valuesets/143C-kwo,http://wals.info/languoid/lect/wals_code_kwo,http://wals.info/feature/143C,http://wals.info/refdb/record/Kooyers-1974[ 50-52]
Kwomtari,OptDoubleNeg&OptTripleNeg,"Spencer 2008[ 107, 124, 131, 132, 150]",http://wals.info/valuesets/143C-kwt,http://wals.info/languoid/lect/wals_code_kwt,http://wals.info/feature/143C,"http://wals.info/refdb/record/Spencer-2008[ 107, 124, 131, 132, 150]"
Lamang,V(Neg)Neg,Wolff 1983[  252- 253],http://wals.info/valuesets/143C-lmg,http://wals.info/languoid/lect/wals_code_lmg,http://wals.info/feature/143C,http://wals.info/refdb/record/Wolff-1983[  252- 253]
Lewo,V(Neg)Neg,Early 1994a[ passim],http://wals.info/valuesets/143C-lew,http://wals.info/languoid/lect/wals_code_lew,http://wals.info/feature/143C,http://wals.info/refdb/record/Early-1994a[ passim]
Maba,[V-Neg](Neg),Tucker and Bryan 1966[ 204];Trenga 1947[ 139],http://wals.info/valuesets/143C-mab,http://wals.info/languoid/lect/wals_code_mab,http://wals.info/feature/143C,http://wals.info/refdb/record/Tucker-and-Bryan-1966[ 204];http://wals.info/refdb/record/Trenga-1947[ 139]
