LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Acholi,SVO & NegV/VNeg,"Crazzolara 1955[ 57, 148]",http://wals.info/valuesets/144E-acl,http://wals.info/languoid/lect/wals_code_acl,http://wals.info/feature/144E,"http://wals.info/refdb/record/Crazzolara-1955[ 57, 148]"
Aghem,SNegVO/SVNegO,"Anderson 1979[ 118, 123]",http://wals.info/valuesets/144E-agh,http://wals.info/languoid/lect/wals_code_agh,http://wals.info/feature/144E,"http://wals.info/refdb/record/Anderson-1979[ 118, 123]"
Ajagbe,SVO/SOV & NegV/VNeg,"Tchitchi 1984[ 142, 239-240]",http://wals.info/valuesets/144E-ajg,http://wals.info/languoid/lect/wals_code_ajg,http://wals.info/feature/144E,"http://wals.info/refdb/record/Tchitchi-1984[ 142, 239-240]"
Apurinã,NegSVO/SNegVO,Facundes 2000[ 535],http://wals.info/valuesets/144E-apu,http://wals.info/languoid/lect/wals_code_apu,http://wals.info/feature/144E,http://wals.info/refdb/record/Facundes-2000[ 535]
Arabic (Syrian),SNegVO/NegVSO,Cowell 1964[ 383],http://wals.info/valuesets/144E-asy,http://wals.info/languoid/lect/wals_code_asy,http://wals.info/feature/144E,http://wals.info/refdb/record/Cowell-1964[ 383]
Armenian (Eastern),SNegVO/SONegV/S[Neg-V]O/SO[Neg-V],,http://wals.info/valuesets/144E-arm,http://wals.info/languoid/lect/wals_code_arm,http://wals.info/feature/144E,
Au,SNegVO/SVONeg,"Scorza 1985[ 244, 257]",http://wals.info/valuesets/144E-au,http://wals.info/languoid/lect/wals_code_au,http://wals.info/feature/144E,"http://wals.info/refdb/record/Scorza-1985[ 244, 257]"
Bajau (West Coast),SVO/VSO & NegV,Miller 2007[ 340],http://wals.info/valuesets/144E-bwc,http://wals.info/languoid/lect/wals_code_bwc,http://wals.info/feature/144E,http://wals.info/refdb/record/Miller-2007[ 340]
Batak (Karo),SNegVO/NegVSO,Woollams 1996[ 251],http://wals.info/valuesets/144E-bkr,http://wals.info/languoid/lect/wals_code_bkr,http://wals.info/feature/144E,http://wals.info/refdb/record/Woollams-1996[ 251]
Berber (Chaouia),SNegVO/NegVSO,Penchoen 1973a[ 50],http://wals.info/valuesets/144E-bch,http://wals.info/languoid/lect/wals_code_bch,http://wals.info/feature/144E,http://wals.info/refdb/record/Penchoen-1973a[ 50]
Biri,SVO & Flexible Neg,Terrill 1998[ 46],http://wals.info/valuesets/144E-bii,http://wals.info/languoid/lect/wals_code_bii,http://wals.info/feature/144E,http://wals.info/refdb/record/Terrill-1998[ 46]
Bontok,SVO/VSO & NegV,Waterman 1932[ 85];Seidenadel 1909[ 139],http://wals.info/valuesets/144E-btk,http://wals.info/languoid/lect/wals_code_btk,http://wals.info/feature/144E,http://wals.info/refdb/record/Waterman-1932[ 85];http://wals.info/refdb/record/Seidenadel-1909[ 139]
Chai,SNegVO/SONegV/SVONeg/SOVNeg,Last and Lucassen 1998[ 419],http://wals.info/valuesets/144E-cai,http://wals.info/languoid/lect/wals_code_cai,http://wals.info/feature/144E,http://wals.info/refdb/record/Last-and-Lucassen-1998[ 419]
Danish,SNegVO/SVNegO,"Bredsdorff 1958[ 105, 165-171];Allan et al. 1995[ 491-492, 515]",http://wals.info/valuesets/144E-dsh,http://wals.info/languoid/lect/wals_code_dsh,http://wals.info/feature/144E,"http://wals.info/refdb/record/Bredsdorff-1958[ 105, 165-171];http://wals.info/refdb/record/Allan-et-al-1995[ 491-492, 515]"
Drehu,NegSVO/NegVOS,Moyse-Faurie 1983[ 103],http://wals.info/valuesets/144E-dre,http://wals.info/languoid/lect/wals_code_dre,http://wals.info/feature/144E,http://wals.info/refdb/record/Moyse-Faurie-1983[ 103]
Dutch,SVONeg/SONegV,Shetter 1958[ passim],http://wals.info/valuesets/144E-dut,http://wals.info/languoid/lect/wals_code_dut,http://wals.info/feature/144E,http://wals.info/refdb/record/Shetter-1958[ passim]
German,SVONeg/SONegV,Lederer 1969[ 583],http://wals.info/valuesets/144E-ger,http://wals.info/languoid/lect/wals_code_ger,http://wals.info/feature/144E,http://wals.info/refdb/record/Lederer-1969[ 583]
Greek (Modern),SNegVO/NegVSO,Mackridge 1985[ 243-244],http://wals.info/valuesets/144E-grk,http://wals.info/languoid/lect/wals_code_grk,http://wals.info/feature/144E,http://wals.info/refdb/record/Mackridge-1985[ 243-244]
Gününa Küne,S[Neg-V]O/[Neg-V]OS,Casamiquela 1983[ 79],http://wals.info/valuesets/144E-gku,http://wals.info/languoid/lect/wals_code_gku,http://wals.info/feature/144E,http://wals.info/refdb/record/Casamiquela-1983[ 79]
Icelandic,SNegVO/SVNegO,,http://wals.info/valuesets/144E-ice,http://wals.info/languoid/lect/wals_code_ice,http://wals.info/feature/144E,
Kilivila,SVO/VOS & NegV,Senft 1986[ passim],http://wals.info/valuesets/144E-klv,http://wals.info/languoid/lect/wals_code_klv,http://wals.info/feature/144E,http://wals.info/refdb/record/Senft-1986[ passim]
Koegu,SVO & NegV/[V-Neg],Hieda 1998[ 368],http://wals.info/valuesets/144E-koe,http://wals.info/languoid/lect/wals_code_koe,http://wals.info/feature/144E,http://wals.info/refdb/record/Hieda-1998[ 368]
Kwaza,S[V-Neg]O/SO[V-Neg],van der Voort 2004[ 519],http://wals.info/valuesets/144E-kwz,http://wals.info/languoid/lect/wals_code_kwz,http://wals.info/feature/144E,http://wals.info/refdb/record/van-der-Voort-2004[ 519]
Lacandón,SVO/VOS & NegV,Bruce 1968[ passim],http://wals.info/valuesets/144E-lac,http://wals.info/languoid/lect/wals_code_lac,http://wals.info/feature/144E,http://wals.info/refdb/record/Bruce-1968[ passim]
Lendu,SVONeg/SNegOV/SOVNeg,Tucker and Bryan 1966[ 54],http://wals.info/valuesets/144E-ldu,http://wals.info/languoid/lect/wals_code_ldu,http://wals.info/feature/144E,http://wals.info/refdb/record/Tucker-and-Bryan-1966[ 54]
Luo,NegSVO/SNegVO,Omondi 1982[ 152-155],http://wals.info/valuesets/144E-luo,http://wals.info/languoid/lect/wals_code_luo,http://wals.info/feature/144E,http://wals.info/refdb/record/Omondi-1982[ 152-155]
Mangbetu,NegSVO/SVNegO,Tucker and Bryan 1966[ 54],http://wals.info/valuesets/144E-mbt,http://wals.info/languoid/lect/wals_code_mbt,http://wals.info/feature/144E,http://wals.info/refdb/record/Tucker-and-Bryan-1966[ 54]
Matuumbi,SVNegO/SVONeg,Odden 1996[ passim],http://wals.info/valuesets/144E-mtb,http://wals.info/languoid/lect/wals_code_mtb,http://wals.info/feature/144E,http://wals.info/refdb/record/Odden-1996[ passim]
Mehri,SVONeg/VSONeg,Simeone-Senelle 1997[ 414],http://wals.info/valuesets/144E-meh,http://wals.info/languoid/lect/wals_code_meh,http://wals.info/feature/144E,http://wals.info/refdb/record/Simeone-Senelle-1997[ 414]
Mondunga,SVO & NegV/[V-Neg],De Boeck 1952[ 40-43],http://wals.info/valuesets/144E-mga,http://wals.info/languoid/lect/wals_code_mga,http://wals.info/feature/144E,http://wals.info/refdb/record/De-Boeck-1952[ 40-43]
Mosetén,NegSVO/SNegVO,Sakel 2002[ 258],http://wals.info/valuesets/144E-mos,http://wals.info/languoid/lect/wals_code_mos,http://wals.info/feature/144E,http://wals.info/refdb/record/Sakel-2002a[ 258]
Nadëb,NegSVO/O[Neg-V]S,Weir 1994[ 294-298],http://wals.info/valuesets/144E-nad,http://wals.info/languoid/lect/wals_code_nad,http://wals.info/feature/144E,http://wals.info/refdb/record/Weir-1994[ 294-298]
Ngiti,NegSVO/SVNegO/NegSOV/SNegOV,"Kutsch Lojenga 1994[ 242, 391]",http://wals.info/valuesets/144E-nti,http://wals.info/languoid/lect/wals_code_nti,http://wals.info/feature/144E,"http://wals.info/refdb/record/Kutsch-Lojenga-1994[ 242, 391]"
Ngoni,S[Neg-V]O/SVNegO,Ngonyani 2003[ 86],http://wals.info/valuesets/144E-ngo,http://wals.info/languoid/lect/wals_code_ngo,http://wals.info/feature/144E,http://wals.info/refdb/record/Ngonyani-2003[ 86]
Norwegian,SNegVO/SVNegO,Strandskogen and Strandskogen 1986[ 188ff];Olson 1901[ passim],http://wals.info/valuesets/144E-nor,http://wals.info/languoid/lect/wals_code_nor,http://wals.info/feature/144E,http://wals.info/refdb/record/Strandskogen-and-Strandskogen-1986[ 188ff];http://wals.info/refdb/record/Olson-1901[ passim]
Nsenga,S[Neg-V]O/SVNegO,Ranger 1928[ 58],http://wals.info/valuesets/144E-nse,http://wals.info/languoid/lect/wals_code_nse,http://wals.info/feature/144E,http://wals.info/refdb/record/Ranger-1928[ 58]
Paumarí,NegSVO/SNegVO/S[V-Neg]O,"Chapman and Derbyshire 1991[ 220-223, 322]",http://wals.info/valuesets/144E-pau,http://wals.info/languoid/lect/wals_code_pau,http://wals.info/feature/144E,"http://wals.info/refdb/record/Chapman-and-Derbyshire-1991[ 220-223, 322]"
Sahu,SVNegO/SVONeg,Visser and Voorhoeve 1987[ passim],http://wals.info/valuesets/144E-sah,http://wals.info/languoid/lect/wals_code_sah,http://wals.info/feature/144E,http://wals.info/refdb/record/Visser-and-Voorhoeve-1987[ passim]
Swedish,SNegVO/SVNegO,Holmes and Hinchliffe 1994[ 521-524],http://wals.info/valuesets/144E-swe,http://wals.info/languoid/lect/wals_code_swe,http://wals.info/feature/144E,http://wals.info/refdb/record/Holmes-and-Hinchliffe-1994[ 521-524]
Tepehua (Huehuetla),SNegVO/NegVSO,Kung 2007[ 578ff],http://wals.info/valuesets/144E-tee,http://wals.info/languoid/lect/wals_code_tee,http://wals.info/feature/144E,http://wals.info/refdb/record/Kung-2007[ 578ff]
Tinrin,SNegVO/NegVOS,Osumi 1995[ 190],http://wals.info/valuesets/144E-tin,http://wals.info/languoid/lect/wals_code_tin,http://wals.info/feature/144E,http://wals.info/refdb/record/Osumi-1995[ 190]
Tiwa (Northern),S[Neg-V]O/SO[Neg-V],Trager 1946[ 202],http://wals.info/valuesets/144E-twn,http://wals.info/languoid/lect/wals_code_twn,http://wals.info/feature/144E,http://wals.info/refdb/record/Trager-1946[ 202]
Toba,S[Neg-V]O/[Neg-V]OS,Klein 1973[ passim];Klein 2001[ 37],http://wals.info/valuesets/144E-tob,http://wals.info/languoid/lect/wals_code_tob,http://wals.info/feature/144E,http://wals.info/refdb/record/Klein-1973[ passim];http://wals.info/refdb/record/Klein-2001[ 37]
Tonkawa,S[V-Neg]O/SO[V-Neg],Hoijer 1933-1938[ 82];Troike 1967[ 329],http://wals.info/valuesets/144E-ton,http://wals.info/languoid/lect/wals_code_ton,http://wals.info/feature/144E,http://wals.info/refdb/record/Hoijer-1933-1938[ 82];http://wals.info/refdb/record/Troike-1967[ 329]
Trumai,SVNegO/SOVNeg,"Monod-Becquelin 1975[ 179, 199, 211];Guirardello 1999a[ 233]",http://wals.info/valuesets/144E-tru,http://wals.info/languoid/lect/wals_code_tru,http://wals.info/feature/144E,"http://wals.info/refdb/record/Monod-Becquelin-1975[ 179, 199, 211];http://wals.info/refdb/record/Guirardello-1999a[ 233]"
Tzutujil,SNegVO/NegVOS,"Dayley 1985[ 8, 244, 321]",http://wals.info/valuesets/144E-tzu,http://wals.info/languoid/lect/wals_code_tzu,http://wals.info/feature/144E,"http://wals.info/refdb/record/Dayley-1985[ 8, 244, 321]"
Wichí,SNegVO/S[V-Neg]O,"Tovar 1981[ 222];Viñas Urquiza 1974[ 103, passim, 148]",http://wals.info/valuesets/144E-wch,http://wals.info/languoid/lect/wals_code_wch,http://wals.info/feature/144E,"http://wals.info/refdb/record/Tovar-1981[ 222];http://wals.info/refdb/record/Vinas-Urquiza-1974[ 103, passim, 148]"
Wolof,SNegVO/S[V-Neg]O,"Njie 1982[ 128-129, 147, 168]",http://wals.info/valuesets/144E-wlf,http://wals.info/languoid/lect/wals_code_wlf,http://wals.info/feature/144E,"http://wals.info/refdb/record/Njie-1982[ 128-129, 147, 168]"
