LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Adzera,S[Neg-V]O(Neg),Holzknecht 1986[ 139],http://wals.info/valuesets/144G-adz,http://wals.info/languoid/lect/wals_code_adz,http://wals.info/feature/144G,http://wals.info/refdb/record/Holzknecht-1986[ 139]
Arabic (Egyptian),SNeg[V-Neg]O/S[Neg-V-Neg]O,Gary and Gamal-Eldin 1982[ 38],http://wals.info/valuesets/144G-aeg,http://wals.info/languoid/lect/wals_code_aeg,http://wals.info/feature/144G,http://wals.info/refdb/record/Gary-and-Gamal-Eldin-1982[ 38]
Arapesh (Mountain),SNegVO(Neg),Conrad and Wogiga 1991[ 99-101],http://wals.info/valuesets/144G-arp,http://wals.info/languoid/lect/wals_code_arp,http://wals.info/feature/144G,http://wals.info/refdb/record/Conrad-and-Wogiga-1991[ 99-101]
Bimoba,SNegVO(Neg),"Jacobs 1970[ 99-101, 114, 128-129]",http://wals.info/valuesets/144G-bmb,http://wals.info/languoid/lect/wals_code_bmb,http://wals.info/feature/144G,"http://wals.info/refdb/record/Jacobs-1970[ 99-101, 114, 128-129]"
Bolia,S[Neg-V]O(Neg),Mamet 1960[ 58-59],http://wals.info/valuesets/144G-bol,http://wals.info/languoid/lect/wals_code_bol,http://wals.info/feature/144G,http://wals.info/refdb/record/Mamet-1960[ 58-59]
Bongo,S(Neg)VONeg,"Santandrea 1963[ 58, 68]",http://wals.info/valuesets/144G-bgo,http://wals.info/languoid/lect/wals_code_bgo,http://wals.info/feature/144G,"http://wals.info/refdb/record/Santandrea-1963[ 58, 68]"
Catalan,SNegV(Neg)O,Hualde 1992[ passim],http://wals.info/valuesets/144G-ctl,http://wals.info/languoid/lect/wals_code_ctl,http://wals.info/feature/144G,http://wals.info/refdb/record/Hualde-1992[ passim]
Chrau,SNegVO(Neg),Thomas 1971[ 143-144],http://wals.info/valuesets/144G-chr,http://wals.info/languoid/lect/wals_code_chr,http://wals.info/feature/144G,http://wals.info/refdb/record/Thomas-1971[ 143-144]
Coptic,S[Neg-V]O/NegSVNegO,,http://wals.info/valuesets/144G-cop,http://wals.info/languoid/lect/wals_code_cop,http://wals.info/feature/144G,
Duma,S(Neg)VNegO,Adam 1954[ 77],http://wals.info/valuesets/144G-dma,http://wals.info/languoid/lect/wals_code_dma,http://wals.info/feature/144G,http://wals.info/refdb/record/Adam-1954[ 77]
Ewondo,SNegVO/SVNegO&NegTone,"Redden 1979[ 79, 86, 97]",http://wals.info/valuesets/144G-ewo,http://wals.info/languoid/lect/wals_code_ewo,http://wals.info/feature/144G,"http://wals.info/refdb/record/Redden-1979[ 79, 86, 97]"
French,S(Neg)VNegO,,http://wals.info/valuesets/144G-fre,http://wals.info/languoid/lect/wals_code_fre,http://wals.info/feature/144G,
Fyem,(Neg)SVONeg,Nettle 1998[ 48-49],http://wals.info/valuesets/144G-fye,http://wals.info/languoid/lect/wals_code_fye,http://wals.info/feature/144G,http://wals.info/refdb/record/Nettle-1998[ 48-49]
Gbeya Bossangoa,S(Neg)VONeg,Samarin 1966[ 83],http://wals.info/valuesets/144G-gbb,http://wals.info/languoid/lect/wals_code_gbb,http://wals.info/feature/144G,http://wals.info/refdb/record/Samarin-1966[ 83]
Hausa,SNegVO(Neg),"Migeod 1914[ 179];Newman 2000[ 357ff];Kraft 1963[ Vol. 1:125, 132-134, 149];Kraft and Kirk-Greene 1973[ 37]",http://wals.info/valuesets/144G-hau,http://wals.info/languoid/lect/wals_code_hau,http://wals.info/feature/144G,"http://wals.info/refdb/record/Migeod-1914[ 179];http://wals.info/refdb/record/Newman-2000[ 357ff];http://wals.info/refdb/record/Kraft-1963[ Vol. 1:125, 132-134, 149];http://wals.info/refdb/record/Kraft-and-Kirk-Greene-1973[ 37]"
Ifira-Mele,S[(Neg-)V]NegO,,http://wals.info/valuesets/144G-mxe,http://wals.info/languoid/lect/wals_code_mxe,http://wals.info/feature/144G,
Inanwatan,SVO/SOV & (Neg)[V-Neg],de Vries 1996[ 40],http://wals.info/valuesets/144G-ina,http://wals.info/languoid/lect/wals_code_ina,http://wals.info/feature/144G,http://wals.info/refdb/record/de-Vries-1996[ 40]
Kresh,(Neg)SVONeg/S(Neg)VONeg,"Brown 1994[ 165];Santandrea 1976[ 61, 130];Tucker and Bryan 1966[ 80-81]",http://wals.info/valuesets/144G-kre,http://wals.info/languoid/lect/wals_code_kre,http://wals.info/feature/144G,"http://wals.info/refdb/record/Brown-1994[ 165];http://wals.info/refdb/record/Santandrea-1976[ 61, 130];http://wals.info/refdb/record/Tucker-and-Bryan-1966[ 80-81]"
Lewo,SVNegO(Neg),Early 1994a[ passim],http://wals.info/valuesets/144G-lew,http://wals.info/languoid/lect/wals_code_lew,http://wals.info/feature/144G,http://wals.info/refdb/record/Early-1994a[ passim]
Mbere,S(Neg)VNegO,Adam 1954[ 76],http://wals.info/valuesets/144G-mbe,http://wals.info/languoid/lect/wals_code_mbe,http://wals.info/feature/144G,http://wals.info/refdb/record/Adam-1954[ 76]
Mumuye,S(Neg)VONeg,"Shimizu 1983[ 102-111, 126]",http://wals.info/valuesets/144G-mum,http://wals.info/languoid/lect/wals_code_mum,http://wals.info/feature/144G,"http://wals.info/refdb/record/Shimizu-1983[ 102-111, 126]"
Mungaka,S(Neg)VONeg,Tischhauser 1992[ 24],http://wals.info/valuesets/144G-mgk,http://wals.info/languoid/lect/wals_code_mgk,http://wals.info/feature/144G,http://wals.info/refdb/record/Tischhauser-1992[ 24]
Mupun,(Neg)SVONeg,Frajzyngier 1993[ 353],http://wals.info/valuesets/144G-mup,http://wals.info/languoid/lect/wals_code_mup,http://wals.info/feature/144G,http://wals.info/refdb/record/Frajzyngier-1993[ 353]
Nkem,S(Neg)[V(-Neg)]O,Sibomana 1986[ 272-274],http://wals.info/valuesets/144G-nke,http://wals.info/languoid/lect/wals_code_nke,http://wals.info/feature/144G,http://wals.info/refdb/record/Sibomana-1986[ 272-274]
One,S(Neg)VONeg,,http://wals.info/valuesets/144G-one,http://wals.info/languoid/lect/wals_code_one,http://wals.info/feature/144G,
Pa'a,S(Neg)VONeg,Skinner 1979[ 51],http://wals.info/valuesets/144G-paa,http://wals.info/languoid/lect/wals_code_paa,http://wals.info/feature/144G,http://wals.info/refdb/record/Skinner-1979[ 51]
Paulohi,SNegVO(Neg),"Stresemann 1918[ 74, passim]",http://wals.info/valuesets/144G-plh,http://wals.info/languoid/lect/wals_code_plh,http://wals.info/feature/144G,"http://wals.info/refdb/record/Stresemann-1918[ 74, passim]"
Romani (Welsh),SVO/VSO & NegV/VNeg/NegVNeg,"Sampson 1926[ 220-221, passim]",http://wals.info/valuesets/144G-rwe,http://wals.info/languoid/lect/wals_code_rwe,http://wals.info/feature/144G,"http://wals.info/refdb/record/Sampson-1926[ 220-221, passim]"
Temein,NegS[V(-Neg)]O,Tucker and Bryan 1966[ 260],http://wals.info/valuesets/144G-tmn,http://wals.info/languoid/lect/wals_code_tmn,http://wals.info/feature/144G,http://wals.info/refdb/record/Tucker-and-Bryan-1966[ 260]
Tera,S(Neg)VONeg,"Newman 1970[ 15, passim, 128-129]",http://wals.info/valuesets/144G-ter,http://wals.info/languoid/lect/wals_code_ter,http://wals.info/feature/144G,"http://wals.info/refdb/record/Newman-1970[ 15, passim, 128-129]"
Tidore,S(Neg)VONeg,"van Staden 2000[ 41, 154, 232]",http://wals.info/valuesets/144G-tid,http://wals.info/languoid/lect/wals_code_tid,http://wals.info/feature/144G,"http://wals.info/refdb/record/van-Staden-2000[ 41, 154, 232]"
Urat,SNegVO(Neg),Sposato 2008[18],http://wals.info/valuesets/144G-urt,http://wals.info/languoid/lect/wals_code_urt,http://wals.info/feature/144G,http://wals.info/refdb/record/Sposato-2008[18]
