LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Abun,No NegSVO,Berry 1995b[ 82],http://wals.info/valuesets/144H-abu,http://wals.info/languoid/lect/wals_code_abu,http://wals.info/feature/144H,http://wals.info/refdb/record/Berry-1995b[ 82]
Achagua,No NegSVO,Wilson and Levinsohn 1992[ 131],http://wals.info/valuesets/144H-acg,http://wals.info/languoid/lect/wals_code_acg,http://wals.info/feature/144H,http://wals.info/refdb/record/Wilson-and-Levinsohn-1992[ 131]
Adioukrou,No NegSVO,Herault 1978[ 353ff],http://wals.info/valuesets/144H-adi,http://wals.info/languoid/lect/wals_code_adi,http://wals.info/feature/144H,http://wals.info/refdb/record/Herault-1978[ 353ff]
Adzera,No NegSVO,Holzknecht 1986[ 139],http://wals.info/valuesets/144H-adz,http://wals.info/languoid/lect/wals_code_adz,http://wals.info/feature/144H,http://wals.info/refdb/record/Holzknecht-1986[ 139]
Aghem,No NegSVO,"Anderson 1979[ 118, 123]",http://wals.info/valuesets/144H-agh,http://wals.info/languoid/lect/wals_code_agh,http://wals.info/feature/144H,"http://wals.info/refdb/record/Anderson-1979[ 118, 123]"
Aja,No NegSVO,Santandrea 1976[ 61],http://wals.info/valuesets/144H-aja,http://wals.info/languoid/lect/wals_code_aja,http://wals.info/feature/144H,http://wals.info/refdb/record/Santandrea-1976[ 61]
Akan,No NegSVO,Christaller 1875[ 60];Welmers 1946[ 40],http://wals.info/valuesets/144H-akn,http://wals.info/languoid/lect/wals_code_akn,http://wals.info/feature/144H,http://wals.info/refdb/record/Christaller-1875[ 60];http://wals.info/refdb/record/Welmers-1946[ 40]
Albanian,No NegSVO,Newmark et al. 1982[ 318];Newmark 1957[ 102],http://wals.info/valuesets/144H-alb,http://wals.info/languoid/lect/wals_code_alb,http://wals.info/feature/144H,http://wals.info/refdb/record/Newmark-et-al-1982[ 318];http://wals.info/refdb/record/Newmark-1957[ 102]
Alune,No NegSVO,Niggemeyer 1951[ passim],http://wals.info/valuesets/144H-aln,http://wals.info/languoid/lect/wals_code_aln,http://wals.info/feature/144H,http://wals.info/refdb/record/Niggemeyer-1951[ passim]
Ambae (Lolovoli Northeast),No NegSVO,"Hyslop 2001[ 231, 259, passim]",http://wals.info/valuesets/144H-aml,http://wals.info/languoid/lect/wals_code_aml,http://wals.info/feature/144H,"http://wals.info/refdb/record/Hyslop-2001[ 231, 259, passim]"
