LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Abun,Word&OnlyWithAnotherNeg,Berry 1995b[ 82],http://wals.info/valuesets/144I-abu,http://wals.info/languoid/lect/wals_code_abu,http://wals.info/feature/144I,http://wals.info/refdb/record/Berry-1995b[ 82]
Achagua,Word&NoDoubleNeg,Wilson and Levinsohn 1992[ 131],http://wals.info/valuesets/144I-acg,http://wals.info/languoid/lect/wals_code_acg,http://wals.info/feature/144I,http://wals.info/refdb/record/Wilson-and-Levinsohn-1992[ 131]
Adioukrou,No SNegVO,Herault 1978[ 353ff],http://wals.info/valuesets/144I-adi,http://wals.info/languoid/lect/wals_code_adi,http://wals.info/feature/144I,http://wals.info/refdb/record/Herault-1978[ 353ff]
Adzera,Prefix&OptDoubleNeg,Holzknecht 1986[ 139],http://wals.info/valuesets/144I-adz,http://wals.info/languoid/lect/wals_code_adz,http://wals.info/feature/144I,http://wals.info/refdb/record/Holzknecht-1986[ 139]
Aghem,Word&NoDoubleNeg,"Anderson 1979[ 118, 123]",http://wals.info/valuesets/144I-agh,http://wals.info/languoid/lect/wals_code_agh,http://wals.info/feature/144I,"http://wals.info/refdb/record/Anderson-1979[ 118, 123]"
Aja,No SNegVO,Santandrea 1976[ 61],http://wals.info/valuesets/144I-aja,http://wals.info/languoid/lect/wals_code_aja,http://wals.info/feature/144I,http://wals.info/refdb/record/Santandrea-1976[ 61]
Akan,Prefix&NoDoubleNeg,Christaller 1875[ 60];Welmers 1946[ 40],http://wals.info/valuesets/144I-akn,http://wals.info/languoid/lect/wals_code_akn,http://wals.info/feature/144I,http://wals.info/refdb/record/Christaller-1875[ 60];http://wals.info/refdb/record/Welmers-1946[ 40]
Albanian,Word&NoDoubleNeg,Newmark 1957[ 102];Newmark et al. 1982[ 318],http://wals.info/valuesets/144I-alb,http://wals.info/languoid/lect/wals_code_alb,http://wals.info/feature/144I,http://wals.info/refdb/record/Newmark-1957[ 102];http://wals.info/refdb/record/Newmark-et-al-1982[ 318]
Alune,No SNegVO,Niggemeyer 1951[ passim],http://wals.info/valuesets/144I-aln,http://wals.info/languoid/lect/wals_code_aln,http://wals.info/feature/144I,http://wals.info/refdb/record/Niggemeyer-1951[ passim]
Ambae (Lolovoli Northeast),Word&OnlyWithAnotherNeg,"Hyslop 2001[ 231, 259, passim]",http://wals.info/valuesets/144I-aml,http://wals.info/languoid/lect/wals_code_aml,http://wals.info/feature/144I,"http://wals.info/refdb/record/Hyslop-2001[ 231, 259, passim]"
