LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Abipón,No SVNegO,Najlis 1966[ passim],http://wals.info/valuesets/144J-abi,http://wals.info/languoid/lect/wals_code_abi,http://wals.info/feature/144J,http://wals.info/refdb/record/Najlis-1966[ passim]
Abun,No SVNegO,Berry 1995b[ 82],http://wals.info/valuesets/144J-abu,http://wals.info/languoid/lect/wals_code_abu,http://wals.info/feature/144J,http://wals.info/refdb/record/Berry-1995b[ 82]
Achagua,No SVNegO,Wilson and Levinsohn 1992[ 131],http://wals.info/valuesets/144J-acg,http://wals.info/languoid/lect/wals_code_acg,http://wals.info/feature/144J,http://wals.info/refdb/record/Wilson-and-Levinsohn-1992[ 131]
Achumawi,No SVNegO,de Angulo and Freeland 1931[ 115],http://wals.info/valuesets/144J-acm,http://wals.info/languoid/lect/wals_code_acm,http://wals.info/feature/144J,http://wals.info/refdb/record/de-Angulo-and-Freeland-1931[ 115]
Adioukrou,Suffix&NoDoubleNeg,Herault 1978[ 353ff],http://wals.info/valuesets/144J-adi,http://wals.info/languoid/lect/wals_code_adi,http://wals.info/feature/144J,http://wals.info/refdb/record/Herault-1978[ 353ff]
Adzera,No SVNegO,Holzknecht 1986[ 139],http://wals.info/valuesets/144J-adz,http://wals.info/languoid/lect/wals_code_adz,http://wals.info/feature/144J,http://wals.info/refdb/record/Holzknecht-1986[ 139]
Aghem,Word&NoDoubleNeg,"Anderson 1979[ 118, 123]",http://wals.info/valuesets/144J-agh,http://wals.info/languoid/lect/wals_code_agh,http://wals.info/feature/144J,"http://wals.info/refdb/record/Anderson-1979[ 118, 123]"
Aja,No SVNegO,Santandrea 1976[ 61],http://wals.info/valuesets/144J-aja,http://wals.info/languoid/lect/wals_code_aja,http://wals.info/feature/144J,http://wals.info/refdb/record/Santandrea-1976[ 61]
Akan,No SVNegO,Christaller 1875[ 60];Welmers 1946[ 40],http://wals.info/valuesets/144J-akn,http://wals.info/languoid/lect/wals_code_akn,http://wals.info/feature/144J,http://wals.info/refdb/record/Christaller-1875[ 60];http://wals.info/refdb/record/Welmers-1946[ 40]
Albanian,No SVNegO,Newmark 1957[ 102];Newmark et al. 1982[ 318],http://wals.info/valuesets/144J-alb,http://wals.info/languoid/lect/wals_code_alb,http://wals.info/feature/144J,http://wals.info/refdb/record/Newmark-1957[ 102];http://wals.info/refdb/record/Newmark-et-al-1982[ 318]
