LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Abipón,No SVONeg,Najlis 1966[ passim],http://wals.info/valuesets/144K-abi,http://wals.info/languoid/lect/wals_code_abi,http://wals.info/feature/144K,http://wals.info/refdb/record/Najlis-1966[ passim]
Abun,OnlyWithAnotherNeg,Berry 1995b[ 82],http://wals.info/valuesets/144K-abu,http://wals.info/languoid/lect/wals_code_abu,http://wals.info/feature/144K,http://wals.info/refdb/record/Berry-1995b[ 82]
Achagua,No SVONeg,Wilson and Levinsohn 1992[ 131],http://wals.info/valuesets/144K-acg,http://wals.info/languoid/lect/wals_code_acg,http://wals.info/feature/144K,http://wals.info/refdb/record/Wilson-and-Levinsohn-1992[ 131]
Achumawi,No SVONeg,de Angulo and Freeland 1931[ 115],http://wals.info/valuesets/144K-acm,http://wals.info/languoid/lect/wals_code_acm,http://wals.info/feature/144K,http://wals.info/refdb/record/de-Angulo-and-Freeland-1931[ 115]
Adioukrou,No SVONeg,Herault 1978[ 353ff],http://wals.info/valuesets/144K-adi,http://wals.info/languoid/lect/wals_code_adi,http://wals.info/feature/144K,http://wals.info/refdb/record/Herault-1978[ 353ff]
Adzera,OnlyWithAnotherNeg,Holzknecht 1986[ 139],http://wals.info/valuesets/144K-adz,http://wals.info/languoid/lect/wals_code_adz,http://wals.info/feature/144K,http://wals.info/refdb/record/Holzknecht-1986[ 139]
Aghem,No SVONeg,"Anderson 1979[ 118, 123]",http://wals.info/valuesets/144K-agh,http://wals.info/languoid/lect/wals_code_agh,http://wals.info/feature/144K,"http://wals.info/refdb/record/Anderson-1979[ 118, 123]"
Aja,NoDoubleNeg,Santandrea 1976[ 61],http://wals.info/valuesets/144K-aja,http://wals.info/languoid/lect/wals_code_aja,http://wals.info/feature/144K,http://wals.info/refdb/record/Santandrea-1976[ 61]
Akan,No SVONeg,Welmers 1946[ 40];Christaller 1875[ 60],http://wals.info/valuesets/144K-akn,http://wals.info/languoid/lect/wals_code_akn,http://wals.info/feature/144K,http://wals.info/refdb/record/Welmers-1946[ 40];http://wals.info/refdb/record/Christaller-1875[ 60]
Albanian,No SVONeg,Newmark 1957[ 102];Newmark et al. 1982[ 318],http://wals.info/valuesets/144K-alb,http://wals.info/languoid/lect/wals_code_alb,http://wals.info/feature/144K,http://wals.info/refdb/record/Newmark-1957[ 102];http://wals.info/refdb/record/Newmark-et-al-1982[ 318]
