LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Aari,SV&OV&[V-Neg],Hayward 1990a[ 471-476],http://wals.info/valuesets/144L-aar,http://wals.info/languoid/lect/wals_code_aar,http://wals.info/feature/144L,http://wals.info/refdb/record/Hayward-1990a[ 471-476]
Abau,SOVNeg,Bailey 1975[ passim],http://wals.info/valuesets/144L-aba,http://wals.info/languoid/lect/wals_code_aba,http://wals.info/feature/144L,http://wals.info/refdb/record/Bailey-1975[ passim]
Abkhaz,More than one construction,Hewitt 1979[ 70],http://wals.info/valuesets/144L-abk,http://wals.info/languoid/lect/wals_code_abk,http://wals.info/feature/144L,http://wals.info/refdb/record/Hewitt-1979[ 70]
Abui,SOVNeg,Kratochvil 2007[ 277],http://wals.info/valuesets/144L-abv,http://wals.info/languoid/lect/wals_code_abv,http://wals.info/feature/144L,http://wals.info/refdb/record/Kratochvil-2007[ 277]
Adang,OptDoubleNeg,"Haan 2001[ 73-74, 220]",http://wals.info/valuesets/144L-adg,http://wals.info/languoid/lect/wals_code_adg,http://wals.info/feature/144L,"http://wals.info/refdb/record/Haan-2001[ 73-74, 220]"
Ainu,SONegV,Shibatani 1990[ 24];Refsing 1986[ 137];Dettmer 1989[ 913],http://wals.info/valuesets/144L-ain,http://wals.info/languoid/lect/wals_code_ain,http://wals.info/feature/144L,http://wals.info/refdb/record/Shibatani-1990[ 24];http://wals.info/refdb/record/Refsing-1986[ 137];http://wals.info/refdb/record/Dettmer-1989[ 913]
Ajagbe,More than one construction,"Tchitchi 1984[ 142, 239-240]",http://wals.info/valuesets/144L-ajg,http://wals.info/languoid/lect/wals_code_ajg,http://wals.info/feature/144L,"http://wals.info/refdb/record/Tchitchi-1984[ 142, 239-240]"
Akha,SONegV,Hansson 2003[ 245];Dellinger 1969[ 162-163],http://wals.info/valuesets/144L-akh,http://wals.info/languoid/lect/wals_code_akh,http://wals.info/feature/144L,http://wals.info/refdb/record/Hansson-2003[ 245];http://wals.info/refdb/record/Dellinger-1969[ 162-163]
Ala'ala,Other NegV,Clunn and Kolia 1977[ 29];Symonds 1989[ 67],http://wals.info/valuesets/144L-all,http://wals.info/languoid/lect/wals_code_all,http://wals.info/feature/144L,http://wals.info/refdb/record/Clunn-and-Kolia-1977[ 29];http://wals.info/refdb/record/Symonds-1989[ 67]
Alamblak,SONegV,Bruce 1984[ 192-193],http://wals.info/valuesets/144L-ala,http://wals.info/languoid/lect/wals_code_ala,http://wals.info/feature/144L,http://wals.info/refdb/record/Bruce-1984[ 192-193]
