LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Abkhaz,SO[Neg-V]/SO[V-Neg],Hewitt 1979[ 70],http://wals.info/valuesets/144M-abk,http://wals.info/languoid/lect/wals_code_abk,http://wals.info/feature/144M,http://wals.info/refdb/record/Hewitt-1979[ 70]
Ajagbe,SOV & NegV/VNeg (b),"Tchitchi 1984[ 142, 239-240]",http://wals.info/valuesets/144M-ajg,http://wals.info/languoid/lect/wals_code_ajg,http://wals.info/feature/144M,"http://wals.info/refdb/record/Tchitchi-1984[ 142, 239-240]"
Ambulas,SOV & NegV/[Neg-V],"Wilson 1980[ 160-161, passim]",http://wals.info/valuesets/144M-amb,http://wals.info/languoid/lect/wals_code_amb,http://wals.info/feature/144M,"http://wals.info/refdb/record/Wilson-1980[ 160-161, passim]"
Apalaí,SO[V-Neg]/O[V-Neg]S,Koehn and Koehn 1986[ 64],http://wals.info/valuesets/144M-apl,http://wals.info/languoid/lect/wals_code_apl,http://wals.info/feature/144M,http://wals.info/refdb/record/Koehn-and-Koehn-1986[ 64]
Armenian (Eastern),SONegV/SO[Neg-V]/SNegVO/S[Neg-V]O,,http://wals.info/valuesets/144M-arm,http://wals.info/languoid/lect/wals_code_arm,http://wals.info/feature/144M,
Armenian (Western),SOV & NegV/[V-Neg],"Gulian 1965[ 59, passim]",http://wals.info/valuesets/144M-arw,http://wals.info/languoid/lect/wals_code_arw,http://wals.info/feature/144M,"http://wals.info/refdb/record/Gulian-1965[ 59, passim]"
Aymara,SNegOV/SONegV,"Wexler 1967[ 25, 137]",http://wals.info/valuesets/144M-aym,http://wals.info/languoid/lect/wals_code_aym,http://wals.info/feature/144M,"http://wals.info/refdb/record/Wexler-1967[ 25, 137]"
Balti,SOV & NegV/VNeg (a),Read 1934[ 56],http://wals.info/valuesets/144M-blt,http://wals.info/languoid/lect/wals_code_blt,http://wals.info/feature/144M,http://wals.info/refdb/record/Read-1934[ 56]
Bodo,SV & OV & NegV/VNeg,Subbarao and Murthy 2000[passim],http://wals.info/valuesets/144M-bod,http://wals.info/languoid/lect/wals_code_bod,http://wals.info/feature/144M,http://wals.info/refdb/record/Subbarao-and-Murthy-2000[passim]
Chai,SONegV/SOVNeg/SNegVO/SVONeg,Last and Lucassen 1998[ 419],http://wals.info/valuesets/144M-cai,http://wals.info/languoid/lect/wals_code_cai,http://wals.info/feature/144M,http://wals.info/refdb/record/Last-and-Lucassen-1998[ 419]
Comanche,NegSOV/SNegOV/SONegV,Charney 1993[ 220],http://wals.info/valuesets/144M-cmn,http://wals.info/languoid/lect/wals_code_cmn,http://wals.info/feature/144M,http://wals.info/refdb/record/Charney-1993[ 220]
Cupeño,NegSOV/2ndPos,Hill 2005[ 389],http://wals.info/valuesets/144M-cup,http://wals.info/languoid/lect/wals_code_cup,http://wals.info/feature/144M,http://wals.info/refdb/record/Hill-2005[ 389]
Dumi,SV & OV & [Neg-V]/[V-Neg],"van Driem 1993[ 124, 149]",http://wals.info/valuesets/144M-dmi,http://wals.info/languoid/lect/wals_code_dmi,http://wals.info/feature/144M,"http://wals.info/refdb/record/van-Driem-1993[ 124, 149]"
Dutch,SONegV/SVONeg,Shetter 1958[ passim],http://wals.info/valuesets/144M-dut,http://wals.info/languoid/lect/wals_code_dut,http://wals.info/feature/144M,http://wals.info/refdb/record/Shetter-1958[ passim]
Eipo,SONegV/SOVNeg,Heeschen 1998[ 222-223],http://wals.info/valuesets/144M-eip,http://wals.info/languoid/lect/wals_code_eip,http://wals.info/feature/144M,http://wals.info/refdb/record/Heeschen-1998[ 222-223]
Ekari,SOV & NegV/VNeg (a),Boelaars 1950[ 149],http://wals.info/valuesets/144M-eka,http://wals.info/languoid/lect/wals_code_eka,http://wals.info/feature/144M,http://wals.info/refdb/record/Boelaars-1950[ 149]
German,SONegV/SVONeg,Lederer 1969[ 583],http://wals.info/valuesets/144M-ger,http://wals.info/languoid/lect/wals_code_ger,http://wals.info/feature/144M,http://wals.info/refdb/record/Lederer-1969[ 583]
Gugada,SOV & NegV/[Neg-V],Peile 1971[ 49];Platt 1972[ 36],http://wals.info/valuesets/144M-gug,http://wals.info/languoid/lect/wals_code_gug,http://wals.info/feature/144M,http://wals.info/refdb/record/Peile-1971[ 49];http://wals.info/refdb/record/Platt-1972[ 36]
Ijo (Kolokuma),SOVNeg/SO[V-Neg],Williamson 1965[ 74],http://wals.info/valuesets/144M-ijo,http://wals.info/languoid/lect/wals_code_ijo,http://wals.info/feature/144M,http://wals.info/refdb/record/Williamson-1965[ 74]
Kaki Ae,SNegOV/SONegV,Clifton 1997[ 24],http://wals.info/valuesets/144M-kae,http://wals.info/languoid/lect/wals_code_kae,http://wals.info/feature/144M,http://wals.info/refdb/record/Clifton-1997[ 24]
Kalmyk,SV & OV & NegV/VNeg,Street 1959[ passim],http://wals.info/valuesets/144M-kmk,http://wals.info/languoid/lect/wals_code_kmk,http://wals.info/feature/144M,http://wals.info/refdb/record/Street-1959[ passim]
Kaluli,SO[Neg-V]/SO[V-Neg],Schieffelin and Feld 1998[ xx],http://wals.info/valuesets/144M-kll,http://wals.info/languoid/lect/wals_code_kll,http://wals.info/feature/144M,http://wals.info/refdb/record/Schieffelin-and-Feld-1998[ xx]
Karachay-Balkar,SOVNeg/SO[V-Neg],"Seegmiller 1996[ 25, 36]",http://wals.info/valuesets/144M-krc,http://wals.info/languoid/lect/wals_code_krc,http://wals.info/feature/144M,"http://wals.info/refdb/record/Seegmiller-1996[ 25, 36]"
Karkar-Yuri,SOVNeg/SO[V-Neg],Rigden n.d. (a)[24],http://wals.info/valuesets/144M-kyr,http://wals.info/languoid/lect/wals_code_kyr,http://wals.info/feature/144M,http://wals.info/refdb/record/Rigden-nd-a[24]
Kolami,SOVNeg/SO[V-Neg],"Emeneau 1955[ 65, 75-78, 110-101]",http://wals.info/valuesets/144M-kol,http://wals.info/languoid/lect/wals_code_kol,http://wals.info/feature/144M,"http://wals.info/refdb/record/Emeneau-1955[ 65, 75-78, 110-101]"
Kulung,SV & OV & [Neg-V]/[V-Neg],"Tolsma 1999[ 58, 70]",http://wals.info/valuesets/144M-klg,http://wals.info/languoid/lect/wals_code_klg,http://wals.info/feature/144M,"http://wals.info/refdb/record/Tolsma-1999[ 58, 70]"
Kwaza,SO[V-Neg]/S[V-Neg]O/,van der Voort 2004[ 519],http://wals.info/valuesets/144M-kwz,http://wals.info/languoid/lect/wals_code_kwz,http://wals.info/feature/144M,http://wals.info/refdb/record/van-der-Voort-2004[ 519]
