LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Amanab,SOV & Neg[V-Neg],Minch 1992[ 147],http://wals.info/valuesets/144N-amn,http://wals.info/languoid/lect/wals_code_amn,http://wals.info/feature/144N,http://wals.info/refdb/record/Minch-1992[ 147]
Amharic,SO[Neg-V-Neg],"Leslau 1966[ 609-610];Leslau 1995[ 292, 302]",http://wals.info/valuesets/144N-amh,http://wals.info/languoid/lect/wals_code_amh,http://wals.info/feature/144N,"http://wals.info/refdb/record/Leslau-1966[ 609-610];http://wals.info/refdb/record/Leslau-1995[ 292, 302]"
Anamuxra,SV & OV & Neg[V-Neg],Ingram 2001[ passim],http://wals.info/valuesets/144N-amx,http://wals.info/languoid/lect/wals_code_amx,http://wals.info/feature/144N,http://wals.info/refdb/record/Ingram-2001[ passim]
Apache (Western),SNegO[V-Neg]/SONeg[V-Neg],Edgerton 1963[ 134-135],http://wals.info/valuesets/144N-apw,http://wals.info/languoid/lect/wals_code_apw,http://wals.info/feature/144N,http://wals.info/refdb/record/Edgerton-1963[ 134-135]
Araona,SV & OV & [Neg-V-Neg],Pitman 1980[ 25],http://wals.info/valuesets/144N-ana,http://wals.info/languoid/lect/wals_code_ana,http://wals.info/feature/144N,http://wals.info/refdb/record/Pitman-1980[ 25]
Awa Pit,SONegVNeg/SONeg[V-Neg],"Curnow 1997[ 332, 334]",http://wals.info/valuesets/144N-awp,http://wals.info/languoid/lect/wals_code_awp,http://wals.info/feature/144N,"http://wals.info/refdb/record/Curnow-1997[ 332, 334]"
Bafut,SVO but NegSNegOV,Chumbow and Tamanji 1994[ 214],http://wals.info/valuesets/144N-baf,http://wals.info/languoid/lect/wals_code_baf,http://wals.info/feature/144N,http://wals.info/refdb/record/Chumbow-and-Tamanji-1994[ 214]
Burmese,SO[Neg-V]Neg,Cornyn and Roop 1968[ 44];Soe 1999[ 144-145];Okell 1969[ passim],http://wals.info/valuesets/144N-brm,http://wals.info/languoid/lect/wals_code_brm,http://wals.info/feature/144N,http://wals.info/refdb/record/Cornyn-and-Roop-1968[ 44];http://wals.info/refdb/record/Soe-1999[ 144-145];http://wals.info/refdb/record/Okell-1969[ passim]
Camling,SO[Neg-V-Neg],Ebert 2003[541],http://wals.info/valuesets/144N-cml,http://wals.info/languoid/lect/wals_code_cml,http://wals.info/feature/144N,http://wals.info/refdb/record/Ebert-2003[541]
Chambri,SOV & Neg[Neg-V],Laycock and Z'graggen 1975[ 756],http://wals.info/valuesets/144N-chb,http://wals.info/languoid/lect/wals_code_chb,http://wals.info/feature/144N,http://wals.info/refdb/record/Laycock-and-Zgraggen-1975[ 756]
Cuiba,NegSO[V-Neg],Berg and Kerr 1973[ 12],http://wals.info/valuesets/144N-cui,http://wals.info/languoid/lect/wals_code_cui,http://wals.info/feature/144N,http://wals.info/refdb/record/Berg-and-Kerr-1973[ 12]
Dhaasanac,SOV & Neg[V-Neg],"Tosco 2001[ 119, 281]",http://wals.info/valuesets/144N-dha,http://wals.info/languoid/lect/wals_code_dha,http://wals.info/feature/144N,"http://wals.info/refdb/record/Tosco-2001[ 119, 281]"
Émérillon,SO[Neg-V-Neg],Rose 2003b[ 399],http://wals.info/valuesets/144N-eme,http://wals.info/languoid/lect/wals_code_eme,http://wals.info/feature/144N,http://wals.info/refdb/record/Rose-2003b[ 399]
Even,SOV & Neg[V-Neg],Benzing 1955[ 86],http://wals.info/valuesets/144N-evn,http://wals.info/languoid/lect/wals_code_evn,http://wals.info/feature/144N,http://wals.info/refdb/record/Benzing-1955[ 86]
Evenki,SONeg[V-Neg],"Nedjalkov 1997[ 97, 269]",http://wals.info/valuesets/144N-eve,http://wals.info/languoid/lect/wals_code_eve,http://wals.info/feature/144N,"http://wals.info/refdb/record/Nedjalkov-1997[ 97, 269]"
Fur,SO[Neg-V-Neg],Beaton 1968[ 95];Jakobi 1990[ 117],http://wals.info/valuesets/144N-fur,http://wals.info/languoid/lect/wals_code_fur,http://wals.info/feature/144N,http://wals.info/refdb/record/Beaton-1968[ 95];http://wals.info/refdb/record/Jakobi-1990[ 117]
Gwari,SNegOVNeg/SNegVONeg,Hyman and Magaji 1970[ 118],http://wals.info/valuesets/144N-gwa,http://wals.info/languoid/lect/wals_code_gwa,http://wals.info/feature/144N,http://wals.info/refdb/record/Hyman-and-Magaji-1970[ 118]
Haida,NegSO[V-Neg],Enrico 2003[ 219],http://wals.info/valuesets/144N-hai,http://wals.info/languoid/lect/wals_code_hai,http://wals.info/feature/144N,http://wals.info/refdb/record/Enrico-2003[ 219]
Itelmen,SOV & Neg[V-Neg],Volodin 1976[ 274],http://wals.info/valuesets/144N-ite,http://wals.info/languoid/lect/wals_code_ite,http://wals.info/feature/144N,http://wals.info/refdb/record/Volodin-1976[ 274]
Kiowa,NegSO[V-Neg],"Watkins 1984[ 176-178, 214-215]",http://wals.info/valuesets/144N-kio,http://wals.info/languoid/lect/wals_code_kio,http://wals.info/feature/144N,"http://wals.info/refdb/record/Watkins-1984[ 176-178, 214-215]"
Kisi,SNegOVNeg/SVONeg&NegTone,"Childs 1995[ 125, 142, 220-222, 227, 260-261]",http://wals.info/valuesets/144N-kis,http://wals.info/languoid/lect/wals_code_kis,http://wals.info/feature/144N,"http://wals.info/refdb/record/Childs-1995[ 125, 142, 220-222, 227, 260-261]"
Kiwai,SNegO[V-Neg]/SONeg[V-Neg],Ray 1933[ passim],http://wals.info/valuesets/144N-kiw,http://wals.info/languoid/lect/wals_code_kiw,http://wals.info/feature/144N,http://wals.info/refdb/record/Ray-1933[ passim]
Korowai,SO[Neg-V-Neg],van Enk and de Vries 1997[ 101],http://wals.info/valuesets/144N-krw,http://wals.info/languoid/lect/wals_code_krw,http://wals.info/feature/144N,http://wals.info/refdb/record/van-Enk-and-de-Vries-1997[ 101]
Koryak,SO[Neg-V-Neg],Zhukova 1968b[ 281],http://wals.info/valuesets/144N-kry,http://wals.info/languoid/lect/wals_code_kry,http://wals.info/feature/144N,http://wals.info/refdb/record/Zhukova-1968b[ 281]
Lepcha,SO[Neg-V-Neg],,http://wals.info/valuesets/144N-lep,http://wals.info/languoid/lect/wals_code_lep,http://wals.info/feature/144N,
Limbu,SV & OV & [Neg-V-Neg],Weidert and Subba 1985[ 55],http://wals.info/valuesets/144N-lim,http://wals.info/languoid/lect/wals_code_lim,http://wals.info/feature/144N,http://wals.info/refdb/record/Weidert-and-Subba-1985[ 55]
Maisin,SOV & NegVNeg,"Ross 1984[ 22, 50, 59]",http://wals.info/valuesets/144N-msn,http://wals.info/languoid/lect/wals_code_msn,http://wals.info/feature/144N,"http://wals.info/refdb/record/Ross-1984[ 22, 50, 59]"
Mandan,SO[Neg-V-Neg],Kennard 1936[ 23],http://wals.info/valuesets/144N-mdn,http://wals.info/languoid/lect/wals_code_mdn,http://wals.info/feature/144N,http://wals.info/refdb/record/Kennard-1936[ 23]
Maricopa,SO[Neg-V-Neg],Gordon 1986[ 71],http://wals.info/valuesets/144N-mar,http://wals.info/languoid/lect/wals_code_mar,http://wals.info/feature/144N,http://wals.info/refdb/record/Gordon-1986[ 71]
Mombum,SOV & Neg[V-Neg],Boelaars 1950[ 146-147],http://wals.info/valuesets/144N-mom,http://wals.info/languoid/lect/wals_code_mom,http://wals.info/feature/144N,http://wals.info/refdb/record/Boelaars-1950[ 146-147]
Oromo (Harar),SO[Neg-V] with negative tone on verb	SO[Neg-V]&NegTone,Owens 1985[ 66],http://wals.info/valuesets/144N-orh,http://wals.info/languoid/lect/wals_code_orh,http://wals.info/feature/144N,http://wals.info/refdb/record/Owens-1985[ 66]
Oromo (Waata),SOV & Neg[V-Neg],Heine 1981[ 42],http://wals.info/valuesets/144N-orw,http://wals.info/languoid/lect/wals_code_orw,http://wals.info/feature/144N,http://wals.info/refdb/record/Heine-1981[ 42]
Pisa,SOV & NegVNeg,Boelaars 1950[ 148],http://wals.info/valuesets/144N-pis,http://wals.info/languoid/lect/wals_code_pis,http://wals.info/feature/144N,http://wals.info/refdb/record/Boelaars-1950[ 148]
