LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Adang,S(Neg)OVNeg,"Haan 2001[ 73-74, 220]",http://wals.info/valuesets/144O-adg,http://wals.info/languoid/lect/wals_code_adg,http://wals.info/feature/144O,"http://wals.info/refdb/record/Haan-2001[ 73-74, 220]"
Amele,S(Neg)O[V(-Neg)]/SO(Neg)[V(-Neg)],Roberts 1987[ 110],http://wals.info/valuesets/144O-ame,http://wals.info/languoid/lect/wals_code_ame,http://wals.info/feature/144O,http://wals.info/refdb/record/Roberts-1987[ 110]
Ao,SO[Neg-V(-Neg)],"Coupe 2007[ 291-292, 341]",http://wals.info/valuesets/144O-ao,http://wals.info/languoid/lect/wals_code_ao,http://wals.info/feature/144O,"http://wals.info/refdb/record/Coupe-2007[ 291-292, 341]"
Belhare,SV & OV &  [(Neg-)V-Neg],Bickel 2003[ 554],http://wals.info/valuesets/144O-bel,http://wals.info/languoid/lect/wals_code_bel,http://wals.info/feature/144O,http://wals.info/refdb/record/Bickel-2003[ 554]
Biloxi,SO[(Neg-)V]Neg,Einaudi 1976[ 86-88],http://wals.info/valuesets/144O-blx,http://wals.info/languoid/lect/wals_code_blx,http://wals.info/feature/144O,http://wals.info/refdb/record/Einaudi-1976[ 86-88]
Boko,S(Neg)OVNeg,,http://wals.info/valuesets/144O-bok,http://wals.info/languoid/lect/wals_code_bok,http://wals.info/feature/144O,
Chimariko,SV & OV &  [(Neg-)V-Neg],,http://wals.info/valuesets/144O-chi,http://wals.info/languoid/lect/wals_code_chi,http://wals.info/feature/144O,
Duna,SOVNeg/SO[Neg-V-Neg],,http://wals.info/valuesets/144O-dun,http://wals.info/languoid/lect/wals_code_dun,http://wals.info/feature/144O,
Guhu-Samane,SOV & (Neg)[V(-Neg)],"Richert 1975[ 797, 787]",http://wals.info/valuesets/144O-guh,http://wals.info/languoid/lect/wals_code_guh,http://wals.info/feature/144O,"http://wals.info/refdb/record/Richert-1975[ 797, 787]"
Hualapai,(Neg)SOVNeg/S(Neg)OVNeg/SO(Neg)VNeg,Watahomigie et al. 1982[ 155-159],http://wals.info/valuesets/144O-hlp,http://wals.info/languoid/lect/wals_code_hlp,http://wals.info/feature/144O,http://wals.info/refdb/record/Watahomigie-et-al-1982[ 155-159]
Inanwatan,SOV/SVO & Neg[V-(Neg)],de Vries 1996[ 40],http://wals.info/valuesets/144O-ina,http://wals.info/languoid/lect/wals_code_ina,http://wals.info/feature/144O,http://wals.info/refdb/record/de-Vries-1996[ 40]
Kamaiurá,SO[(Neg-)V-Neg],Seki 2000[ 329-330],http://wals.info/valuesets/144O-kma,http://wals.info/languoid/lect/wals_code_kma,http://wals.info/feature/144O,http://wals.info/refdb/record/Seki-2000[ 329-330]
Kayabí,SOV but S[Neg-V-Neg]O/SO[V-Neg],Gomes 2007[ 173],http://wals.info/valuesets/144O-kyz,http://wals.info/languoid/lect/wals_code_kyz,http://wals.info/feature/144O,http://wals.info/refdb/record/Gomes-2007[ 173]
Khaling,SO[Neg-V(-Neg)],Toba 1984[ 6],http://wals.info/valuesets/144O-khg,http://wals.info/languoid/lect/wals_code_khg,http://wals.info/feature/144O,http://wals.info/refdb/record/Toba-1984[ 6]
Kiliwa,(Neg)SOVNeg/S(Neg)OVNeg/SO(Neg)VNeg,"Mixco 1971[ 168, 231-232]",http://wals.info/valuesets/144O-klw,http://wals.info/languoid/lect/wals_code_klw,http://wals.info/feature/144O,"http://wals.info/refdb/record/Mixco-1971[ 168, 231-232]"
