LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Abau,No NegSOV,Bailey 1975[ passim],http://wals.info/valuesets/144P-aba,http://wals.info/languoid/lect/wals_code_aba,http://wals.info/feature/144P,http://wals.info/refdb/record/Bailey-1975[ passim]
Abkhaz,No NegSOV,Hewitt 1979[ 70],http://wals.info/valuesets/144P-abk,http://wals.info/languoid/lect/wals_code_abk,http://wals.info/feature/144P,http://wals.info/refdb/record/Hewitt-1979[ 70]
Abui,No NegSOV,Kratochvil 2007[ 277],http://wals.info/valuesets/144P-abv,http://wals.info/languoid/lect/wals_code_abv,http://wals.info/feature/144P,http://wals.info/refdb/record/Kratochvil-2007[ 277]
Adang,No NegSOV,"Haan 2001[ 73-74, 220]",http://wals.info/valuesets/144P-adg,http://wals.info/languoid/lect/wals_code_adg,http://wals.info/feature/144P,"http://wals.info/refdb/record/Haan-2001[ 73-74, 220]"
Ainu,No NegSOV,Dettmer 1989[ 913];Shibatani 1990[ 24];Refsing 1986[ 137],http://wals.info/valuesets/144P-ain,http://wals.info/languoid/lect/wals_code_ain,http://wals.info/feature/144P,http://wals.info/refdb/record/Dettmer-1989[ 913];http://wals.info/refdb/record/Shibatani-1990[ 24];http://wals.info/refdb/record/Refsing-1986[ 137]
Akha,No NegSOV,Dellinger 1969[ 162-163];Hansson 2003[ 245],http://wals.info/valuesets/144P-akh,http://wals.info/languoid/lect/wals_code_akh,http://wals.info/feature/144P,http://wals.info/refdb/record/Dellinger-1969[ 162-163];http://wals.info/refdb/record/Hansson-2003[ 245]
Alamblak,No NegSOV,Bruce 1984[ 192-193],http://wals.info/valuesets/144P-ala,http://wals.info/languoid/lect/wals_code_ala,http://wals.info/feature/144P,http://wals.info/refdb/record/Bruce-1984[ 192-193]
Alyawarra,No NegSOV,Yallop 1977[ 56],http://wals.info/valuesets/144P-aly,http://wals.info/languoid/lect/wals_code_aly,http://wals.info/feature/144P,http://wals.info/refdb/record/Yallop-1977[ 56]
Amele,No NegSOV,Roberts 1987[ 110],http://wals.info/valuesets/144P-ame,http://wals.info/languoid/lect/wals_code_ame,http://wals.info/feature/144P,http://wals.info/refdb/record/Roberts-1987[ 110]
Amharic,No NegSOV,"Leslau 1966[ 609-610];Leslau 1995[ 292, 302]",http://wals.info/valuesets/144P-amh,http://wals.info/languoid/lect/wals_code_amh,http://wals.info/feature/144P,"http://wals.info/refdb/record/Leslau-1966[ 609-610];http://wals.info/refdb/record/Leslau-1995[ 292, 302]"
Angami,No NegSOV,Giridhar 1980[ 80],http://wals.info/valuesets/144P-agm,http://wals.info/languoid/lect/wals_code_agm,http://wals.info/feature/144P,http://wals.info/refdb/record/Giridhar-1980[ 80]
Anggor,No NegSOV,Litteral 1972[ 76],http://wals.info/valuesets/144P-ang,http://wals.info/languoid/lect/wals_code_ang,http://wals.info/feature/144P,http://wals.info/refdb/record/Litteral-1972[ 76]
Ao,No NegSOV,"Coupe 2007[ 291-292, 341]",http://wals.info/valuesets/144P-ao,http://wals.info/languoid/lect/wals_code_ao,http://wals.info/feature/144P,"http://wals.info/refdb/record/Coupe-2007[ 291-292, 341]"
Apache (Western),No NegSOV,Edgerton 1963[ 134-135],http://wals.info/valuesets/144P-apw,http://wals.info/languoid/lect/wals_code_apw,http://wals.info/feature/144P,http://wals.info/refdb/record/Edgerton-1963[ 134-135]
Apalaí,No NegSOV,Koehn and Koehn 1986[ 64],http://wals.info/valuesets/144P-apl,http://wals.info/languoid/lect/wals_code_apl,http://wals.info/feature/144P,http://wals.info/refdb/record/Koehn-and-Koehn-1986[ 64]
Apatani,No NegSOV,Abraham 1985[ 108],http://wals.info/valuesets/144P-apt,http://wals.info/languoid/lect/wals_code_apt,http://wals.info/feature/144P,http://wals.info/refdb/record/Abraham-1985[ 108]
Archi,No NegSOV,Kibrik et al. 1977[ III:244-III:247],http://wals.info/valuesets/144P-arc,http://wals.info/languoid/lect/wals_code_arc,http://wals.info/feature/144P,http://wals.info/refdb/record/Kibrik-et-al-1977[ III:244-III:247]
Armenian (Eastern),No NegSOV,,http://wals.info/valuesets/144P-arm,http://wals.info/languoid/lect/wals_code_arm,http://wals.info/feature/144P,
Arrernte (Mparntwe),No NegSOV,Wilkins 1989[ 235],http://wals.info/valuesets/144P-amp,http://wals.info/languoid/lect/wals_code_amp,http://wals.info/feature/144P,http://wals.info/refdb/record/Wilkins-1989[ 235]
Asmat,No NegSOV,"Voorhoeve 1965[ 164-168, passim]",http://wals.info/valuesets/144P-asm,http://wals.info/languoid/lect/wals_code_asm,http://wals.info/feature/144P,"http://wals.info/refdb/record/Voorhoeve-1965[ 164-168, passim]"
Assamese,No NegSOV,Goswami and Tamuli 2003[ 426],http://wals.info/valuesets/144P-ass,http://wals.info/languoid/lect/wals_code_ass,http://wals.info/feature/144P,http://wals.info/refdb/record/Goswami-and-Tamuli-2003[ 426]
Athpare,No NegSOV,Ebert 1997b[ 55ff],http://wals.info/valuesets/144P-ath,http://wals.info/languoid/lect/wals_code_ath,http://wals.info/feature/144P,http://wals.info/refdb/record/Ebert-1997b[ 55ff]
Avar,No NegSOV,Bokarev 1949b[ 128],http://wals.info/valuesets/144P-ava,http://wals.info/languoid/lect/wals_code_ava,http://wals.info/feature/144P,http://wals.info/refdb/record/Bokarev-1949b[ 128]
Awa,No NegSOV,Loving 1973[ 81],http://wals.info/valuesets/144P-awa,http://wals.info/languoid/lect/wals_code_awa,http://wals.info/feature/144P,http://wals.info/refdb/record/Loving-1973[ 81]
Awa Pit,No NegSOV,"Curnow 1997[ 332, 334]",http://wals.info/valuesets/144P-awp,http://wals.info/languoid/lect/wals_code_awp,http://wals.info/feature/144P,"http://wals.info/refdb/record/Curnow-1997[ 332, 334]"
Awtuw,No NegSOV,"Feldman 1986[ 57, 146, 146]",http://wals.info/valuesets/144P-awt,http://wals.info/languoid/lect/wals_code_awt,http://wals.info/feature/144P,"http://wals.info/refdb/record/Feldman-1986[ 57, 146, 146]"
Aymara,No NegSOV,"Wexler 1967[ 25, 137]",http://wals.info/valuesets/144P-aym,http://wals.info/languoid/lect/wals_code_aym,http://wals.info/feature/144P,"http://wals.info/refdb/record/Wexler-1967[ 25, 137]"
Azari (Iranian),No NegSOV,Dehghani 2000[ 109],http://wals.info/valuesets/144P-azi,http://wals.info/languoid/lect/wals_code_azi,http://wals.info/feature/144P,http://wals.info/refdb/record/Dehghani-2000[ 109]
Azerbaijani,No NegSOV,Householder and Lofti 1965[ 61],http://wals.info/valuesets/144P-aze,http://wals.info/languoid/lect/wals_code_aze,http://wals.info/feature/144P,http://wals.info/refdb/record/Householder-and-Lofti-1965[ 61]
Bafut,OnlyWithAnotherNeg,Chumbow and Tamanji 1994[ 214],http://wals.info/valuesets/144P-baf,http://wals.info/languoid/lect/wals_code_baf,http://wals.info/feature/144P,http://wals.info/refdb/record/Chumbow-and-Tamanji-1994[ 214]
Bambara,No NegSOV,Bird et al. 1977[ 219],http://wals.info/valuesets/144P-bam,http://wals.info/languoid/lect/wals_code_bam,http://wals.info/feature/144P,http://wals.info/refdb/record/Bird-et-al-1977[ 219]
Baragaunle,No NegSOV,Kretschmar 1995[ 140],http://wals.info/valuesets/144P-brl,http://wals.info/languoid/lect/wals_code_brl,http://wals.info/feature/144P,http://wals.info/refdb/record/Kretschmar-1995[ 140]
Barai,No NegSOV,Olson 1975[ 482],http://wals.info/valuesets/144P-baa,http://wals.info/languoid/lect/wals_code_baa,http://wals.info/feature/144P,http://wals.info/refdb/record/Olson-1975[ 482]
Barupu,No NegSOV,"Corris 2005[127, 298]",http://wals.info/valuesets/144P-brp,http://wals.info/languoid/lect/wals_code_brp,http://wals.info/feature/144P,"http://wals.info/refdb/record/Corris-2005[127, 298]"
Basque,No NegSOV,Lafitte 1962[ 48-49],http://wals.info/valuesets/144P-bsq,http://wals.info/languoid/lect/wals_code_bsq,http://wals.info/feature/144P,http://wals.info/refdb/record/Lafitte-1962[ 48-49]
Bauzi,No NegSOV,Briley 1997[ passim],http://wals.info/valuesets/144P-bzi,http://wals.info/languoid/lect/wals_code_bzi,http://wals.info/feature/144P,http://wals.info/refdb/record/Briley-1997[ passim]
Bawm,No NegSOV,Reichle 1981[ 54],http://wals.info/valuesets/144P-baw,http://wals.info/languoid/lect/wals_code_baw,http://wals.info/feature/144P,http://wals.info/refdb/record/Reichle-1981[ 54]
Beja,No NegSOV,"Hudson 1974[ passim];Reinisch 1893[ 147, 184]",http://wals.info/valuesets/144P-bej,http://wals.info/languoid/lect/wals_code_bej,http://wals.info/feature/144P,"http://wals.info/refdb/record/Hudson-1974[ passim];http://wals.info/refdb/record/Reinisch-1893[ 147, 184]"
Bengali,No NegSOV,Dasgupta 2003[ 375],http://wals.info/valuesets/144P-ben,http://wals.info/languoid/lect/wals_code_ben,http://wals.info/feature/144P,http://wals.info/refdb/record/Dasgupta-2003[ 375]
Beria,No NegSOV,Crass and Jakobi 2004[ 93-94],http://wals.info/valuesets/144P-zag,http://wals.info/languoid/lect/wals_code_zag,http://wals.info/feature/144P,http://wals.info/refdb/record/Crass-and-Jakobi-2004[ 93-94]
Betoi,No NegSOV,,http://wals.info/valuesets/144P-bti,http://wals.info/languoid/lect/wals_code_bti,http://wals.info/feature/144P,
Bhojpuri,No NegSOV,"Shukla 1981[ 152, 309]",http://wals.info/valuesets/144P-bho,http://wals.info/languoid/lect/wals_code_bho,http://wals.info/feature/144P,"http://wals.info/refdb/record/Shukla-1981[ 152, 309]"
Biloxi,No NegSOV,Einaudi 1976[ 86-88],http://wals.info/valuesets/144P-blx,http://wals.info/languoid/lect/wals_code_blx,http://wals.info/feature/144P,http://wals.info/refdb/record/Einaudi-1976[ 86-88]
Bisu,No NegSOV,Nishida 1973[ 67],http://wals.info/valuesets/144P-biu,http://wals.info/languoid/lect/wals_code_biu,http://wals.info/feature/144P,http://wals.info/refdb/record/Nishida-1973[ 67]
Boazi,No NegSOV,Boelaars 1950[ 144],http://wals.info/valuesets/144P-boa,http://wals.info/languoid/lect/wals_code_boa,http://wals.info/feature/144P,http://wals.info/refdb/record/Boelaars-1950[ 144]
Boko,No NegSOV,,http://wals.info/valuesets/144P-bok,http://wals.info/languoid/lect/wals_code_bok,http://wals.info/feature/144P,
Buriat,No NegSOV,Poppe 1960[ 56],http://wals.info/valuesets/144P-but,http://wals.info/languoid/lect/wals_code_but,http://wals.info/feature/144P,http://wals.info/refdb/record/Poppe-1960[ 56]
Burmese,No NegSOV,Okell 1969[ passim];Soe 1999[ 144-145];Cornyn and Roop 1968[ 44],http://wals.info/valuesets/144P-brm,http://wals.info/languoid/lect/wals_code_brm,http://wals.info/feature/144P,http://wals.info/refdb/record/Okell-1969[ passim];http://wals.info/refdb/record/Soe-1999[ 144-145];http://wals.info/refdb/record/Cornyn-and-Roop-1968[ 44]
Burushaski,No NegSOV,Lorimer 1935[ 305];Tiffou and Pesot 1989[ 73],http://wals.info/valuesets/144P-bur,http://wals.info/languoid/lect/wals_code_bur,http://wals.info/feature/144P,http://wals.info/refdb/record/Lorimer-1935[ 305];http://wals.info/refdb/record/Tiffou-and-Pesot-1989[ 73]
