LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Abau,No SNegOV,Bailey 1975[ passim],http://wals.info/valuesets/144Q-aba,http://wals.info/languoid/lect/wals_code_aba,http://wals.info/feature/144Q,http://wals.info/refdb/record/Bailey-1975[ passim]
Abkhaz,No SNegOV,Hewitt 1979[ 70],http://wals.info/valuesets/144Q-abk,http://wals.info/languoid/lect/wals_code_abk,http://wals.info/feature/144Q,http://wals.info/refdb/record/Hewitt-1979[ 70]
Abui,No SNegOV,Kratochvil 2007[ 277],http://wals.info/valuesets/144Q-abv,http://wals.info/languoid/lect/wals_code_abv,http://wals.info/feature/144Q,http://wals.info/refdb/record/Kratochvil-2007[ 277]
Adang,OnlyWithAnotherNeg,"Haan 2001[ 73-74, 220]",http://wals.info/valuesets/144Q-adg,http://wals.info/languoid/lect/wals_code_adg,http://wals.info/feature/144Q,"http://wals.info/refdb/record/Haan-2001[ 73-74, 220]"
Ainu,No SNegOV,Dettmer 1989[ 913];Shibatani 1990[ 24];Refsing 1986[ 137],http://wals.info/valuesets/144Q-ain,http://wals.info/languoid/lect/wals_code_ain,http://wals.info/feature/144Q,http://wals.info/refdb/record/Dettmer-1989[ 913];http://wals.info/refdb/record/Shibatani-1990[ 24];http://wals.info/refdb/record/Refsing-1986[ 137]
Akha,No SNegOV,Hansson 2003[ 245];Dellinger 1969[ 162-163],http://wals.info/valuesets/144Q-akh,http://wals.info/languoid/lect/wals_code_akh,http://wals.info/feature/144Q,http://wals.info/refdb/record/Hansson-2003[ 245];http://wals.info/refdb/record/Dellinger-1969[ 162-163]
Alamblak,No SNegOV,Bruce 1984[ 192-193],http://wals.info/valuesets/144Q-ala,http://wals.info/languoid/lect/wals_code_ala,http://wals.info/feature/144Q,http://wals.info/refdb/record/Bruce-1984[ 192-193]
Alyawarra,No SNegOV,Yallop 1977[ 56],http://wals.info/valuesets/144Q-aly,http://wals.info/languoid/lect/wals_code_aly,http://wals.info/feature/144Q,http://wals.info/refdb/record/Yallop-1977[ 56]
Amele,OptDoubleNeg,Roberts 1987[ 110],http://wals.info/valuesets/144Q-ame,http://wals.info/languoid/lect/wals_code_ame,http://wals.info/feature/144Q,http://wals.info/refdb/record/Roberts-1987[ 110]
Amharic,No SNegOV,"Leslau 1966[ 609-610];Leslau 1995[ 292, 302]",http://wals.info/valuesets/144Q-amh,http://wals.info/languoid/lect/wals_code_amh,http://wals.info/feature/144Q,"http://wals.info/refdb/record/Leslau-1966[ 609-610];http://wals.info/refdb/record/Leslau-1995[ 292, 302]"
Angami,No SNegOV,Giridhar 1980[ 80],http://wals.info/valuesets/144Q-agm,http://wals.info/languoid/lect/wals_code_agm,http://wals.info/feature/144Q,http://wals.info/refdb/record/Giridhar-1980[ 80]
Anggor,No SNegOV,Litteral 1972[ 76],http://wals.info/valuesets/144Q-ang,http://wals.info/languoid/lect/wals_code_ang,http://wals.info/feature/144Q,http://wals.info/refdb/record/Litteral-1972[ 76]
Ao,No SNegOV,"Coupe 2007[ 291-292, 341]",http://wals.info/valuesets/144Q-ao,http://wals.info/languoid/lect/wals_code_ao,http://wals.info/feature/144Q,"http://wals.info/refdb/record/Coupe-2007[ 291-292, 341]"
Apache (Western),OnlyWithAnotherNeg,Edgerton 1963[ 134-135],http://wals.info/valuesets/144Q-apw,http://wals.info/languoid/lect/wals_code_apw,http://wals.info/feature/144Q,http://wals.info/refdb/record/Edgerton-1963[ 134-135]
Apalaí,No SNegOV,Koehn and Koehn 1986[ 64],http://wals.info/valuesets/144Q-apl,http://wals.info/languoid/lect/wals_code_apl,http://wals.info/feature/144Q,http://wals.info/refdb/record/Koehn-and-Koehn-1986[ 64]
Apatani,No SNegOV,Abraham 1985[ 108],http://wals.info/valuesets/144Q-apt,http://wals.info/languoid/lect/wals_code_apt,http://wals.info/feature/144Q,http://wals.info/refdb/record/Abraham-1985[ 108]
