LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Abau,No SONegV,Bailey 1975[ passim],http://wals.info/valuesets/144R-aba,http://wals.info/languoid/lect/wals_code_aba,http://wals.info/feature/144R,http://wals.info/refdb/record/Bailey-1975[ passim]
Abkhaz,Prefix&NoDoubleNeg,Hewitt 1979[ 70],http://wals.info/valuesets/144R-abk,http://wals.info/languoid/lect/wals_code_abk,http://wals.info/feature/144R,http://wals.info/refdb/record/Hewitt-1979[ 70]
Abui,No SONegV,Kratochvil 2007[ 277],http://wals.info/valuesets/144R-abv,http://wals.info/languoid/lect/wals_code_abv,http://wals.info/feature/144R,http://wals.info/refdb/record/Kratochvil-2007[ 277]
Adang,No SONegV,"Haan 2001[ 73-74, 220]",http://wals.info/valuesets/144R-adg,http://wals.info/languoid/lect/wals_code_adg,http://wals.info/feature/144R,"http://wals.info/refdb/record/Haan-2001[ 73-74, 220]"
Ainu,Word&NoDoubleNeg,Refsing 1986[ 137];Dettmer 1989[ 913];Shibatani 1990[ 24],http://wals.info/valuesets/144R-ain,http://wals.info/languoid/lect/wals_code_ain,http://wals.info/feature/144R,http://wals.info/refdb/record/Refsing-1986[ 137];http://wals.info/refdb/record/Dettmer-1989[ 913];http://wals.info/refdb/record/Shibatani-1990[ 24]
Akha,Word&NoDoubleNeg,Hansson 2003[ 245];Dellinger 1969[ 162-163],http://wals.info/valuesets/144R-akh,http://wals.info/languoid/lect/wals_code_akh,http://wals.info/feature/144R,http://wals.info/refdb/record/Hansson-2003[ 245];http://wals.info/refdb/record/Dellinger-1969[ 162-163]
Alamblak,Word&NoDoubleNeg,Bruce 1984[ 192-193],http://wals.info/valuesets/144R-ala,http://wals.info/languoid/lect/wals_code_ala,http://wals.info/feature/144R,http://wals.info/refdb/record/Bruce-1984[ 192-193]
Alyawarra,No SONegV,Yallop 1977[ 56],http://wals.info/valuesets/144R-aly,http://wals.info/languoid/lect/wals_code_aly,http://wals.info/feature/144R,http://wals.info/refdb/record/Yallop-1977[ 56]
Amele,Word&OptDoubleNeg,Roberts 1987[ 110],http://wals.info/valuesets/144R-ame,http://wals.info/languoid/lect/wals_code_ame,http://wals.info/feature/144R,http://wals.info/refdb/record/Roberts-1987[ 110]
Amharic,Prefix&OnlyWithAnotherNeg,"Leslau 1966[ 609-610];Leslau 1995[ 292, 302]",http://wals.info/valuesets/144R-amh,http://wals.info/languoid/lect/wals_code_amh,http://wals.info/feature/144R,"http://wals.info/refdb/record/Leslau-1966[ 609-610];http://wals.info/refdb/record/Leslau-1995[ 292, 302]"
Angami,No SONegV,Giridhar 1980[ 80],http://wals.info/valuesets/144R-agm,http://wals.info/languoid/lect/wals_code_agm,http://wals.info/feature/144R,http://wals.info/refdb/record/Giridhar-1980[ 80]
Anggor,No SONegV,Litteral 1972[ 76],http://wals.info/valuesets/144R-ang,http://wals.info/languoid/lect/wals_code_ang,http://wals.info/feature/144R,http://wals.info/refdb/record/Litteral-1972[ 76]
Ao,Prefix&OptDoubleNeg,"Coupe 2007[ 291-292, 341]",http://wals.info/valuesets/144R-ao,http://wals.info/languoid/lect/wals_code_ao,http://wals.info/feature/144R,"http://wals.info/refdb/record/Coupe-2007[ 291-292, 341]"
Apache (Western),Word&OnlyWithAnotherNeg,Edgerton 1963[ 134-135],http://wals.info/valuesets/144R-apw,http://wals.info/languoid/lect/wals_code_apw,http://wals.info/feature/144R,http://wals.info/refdb/record/Edgerton-1963[ 134-135]
Apalaí,No SONegV,Koehn and Koehn 1986[ 64],http://wals.info/valuesets/144R-apl,http://wals.info/languoid/lect/wals_code_apl,http://wals.info/feature/144R,http://wals.info/refdb/record/Koehn-and-Koehn-1986[ 64]
Apatani,No SONegV,Abraham 1985[ 108],http://wals.info/valuesets/144R-apt,http://wals.info/languoid/lect/wals_code_apt,http://wals.info/feature/144R,http://wals.info/refdb/record/Abraham-1985[ 108]
Archi,No SONegV,Kibrik et al. 1977[ III:244-III:247],http://wals.info/valuesets/144R-arc,http://wals.info/languoid/lect/wals_code_arc,http://wals.info/feature/144R,http://wals.info/refdb/record/Kibrik-et-al-1977[ III:244-III:247]
Armenian (Eastern),Type 1 / Type 2,,http://wals.info/valuesets/144R-arm,http://wals.info/languoid/lect/wals_code_arm,http://wals.info/feature/144R,
Armenian (Western),Prefix&NoDoubleNeg,"Gulian 1965[ 59, passim]",http://wals.info/valuesets/144R-arw,http://wals.info/languoid/lect/wals_code_arw,http://wals.info/feature/144R,"http://wals.info/refdb/record/Gulian-1965[ 59, passim]"
Arrernte (Mparntwe),No SONegV,Wilkins 1989[ 235],http://wals.info/valuesets/144R-amp,http://wals.info/languoid/lect/wals_code_amp,http://wals.info/feature/144R,http://wals.info/refdb/record/Wilkins-1989[ 235]
Asmat,No SONegV,"Voorhoeve 1965[ 164-168, passim]",http://wals.info/valuesets/144R-asm,http://wals.info/languoid/lect/wals_code_asm,http://wals.info/feature/144R,"http://wals.info/refdb/record/Voorhoeve-1965[ 164-168, passim]"
Assamese,Prefix&NoDoubleNeg,Goswami and Tamuli 2003[ 426],http://wals.info/valuesets/144R-ass,http://wals.info/languoid/lect/wals_code_ass,http://wals.info/feature/144R,http://wals.info/refdb/record/Goswami-and-Tamuli-2003[ 426]
Athpare,No SONegV,Ebert 1997b[ 55ff],http://wals.info/valuesets/144R-ath,http://wals.info/languoid/lect/wals_code_ath,http://wals.info/feature/144R,http://wals.info/refdb/record/Ebert-1997b[ 55ff]
Avar,No SONegV,Bokarev 1949b[ 128],http://wals.info/valuesets/144R-ava,http://wals.info/languoid/lect/wals_code_ava,http://wals.info/feature/144R,http://wals.info/refdb/record/Bokarev-1949b[ 128]
Awa,Word&NoDoubleNeg,Loving 1973[ 81],http://wals.info/valuesets/144R-awa,http://wals.info/languoid/lect/wals_code_awa,http://wals.info/feature/144R,http://wals.info/refdb/record/Loving-1973[ 81]
Awa Pit,Word&OnlyWithAnotherNeg,"Curnow 1997[ 332, 334]",http://wals.info/valuesets/144R-awp,http://wals.info/languoid/lect/wals_code_awp,http://wals.info/feature/144R,"http://wals.info/refdb/record/Curnow-1997[ 332, 334]"
Awtuw,Prefix&NoDoubleNeg,"Feldman 1986[ 57, 146, 146]",http://wals.info/valuesets/144R-awt,http://wals.info/languoid/lect/wals_code_awt,http://wals.info/feature/144R,"http://wals.info/refdb/record/Feldman-1986[ 57, 146, 146]"
Aymara,Word&NoDoubleNeg,"Wexler 1967[ 25, 137]",http://wals.info/valuesets/144R-aym,http://wals.info/languoid/lect/wals_code_aym,http://wals.info/feature/144R,"http://wals.info/refdb/record/Wexler-1967[ 25, 137]"
Azari (Iranian),No SONegV,Dehghani 2000[ 109],http://wals.info/valuesets/144R-azi,http://wals.info/languoid/lect/wals_code_azi,http://wals.info/feature/144R,http://wals.info/refdb/record/Dehghani-2000[ 109]
Azerbaijani,No SONegV,Householder and Lofti 1965[ 61],http://wals.info/valuesets/144R-aze,http://wals.info/languoid/lect/wals_code_aze,http://wals.info/feature/144R,http://wals.info/refdb/record/Householder-and-Lofti-1965[ 61]
Bafut,No SONegV,Chumbow and Tamanji 1994[ 214],http://wals.info/valuesets/144R-baf,http://wals.info/languoid/lect/wals_code_baf,http://wals.info/feature/144R,http://wals.info/refdb/record/Chumbow-and-Tamanji-1994[ 214]
Bambara,No SONegV,Bird et al. 1977[ 219],http://wals.info/valuesets/144R-bam,http://wals.info/languoid/lect/wals_code_bam,http://wals.info/feature/144R,http://wals.info/refdb/record/Bird-et-al-1977[ 219]
Baragaunle,Prefix&NoDoubleNeg,Kretschmar 1995[ 140],http://wals.info/valuesets/144R-brl,http://wals.info/languoid/lect/wals_code_brl,http://wals.info/feature/144R,http://wals.info/refdb/record/Kretschmar-1995[ 140]
Barai,Word&NoDoubleNeg,Olson 1975[ 482],http://wals.info/valuesets/144R-baa,http://wals.info/languoid/lect/wals_code_baa,http://wals.info/feature/144R,http://wals.info/refdb/record/Olson-1975[ 482]
Barupu,No SONegV,"Corris 2005[127, 298]",http://wals.info/valuesets/144R-brp,http://wals.info/languoid/lect/wals_code_brp,http://wals.info/feature/144R,"http://wals.info/refdb/record/Corris-2005[127, 298]"
Basque,Word&NoDoubleNeg,Lafitte 1962[ 48-49],http://wals.info/valuesets/144R-bsq,http://wals.info/languoid/lect/wals_code_bsq,http://wals.info/feature/144R,http://wals.info/refdb/record/Lafitte-1962[ 48-49]
Bauzi,No SONegV,Briley 1997[ passim],http://wals.info/valuesets/144R-bzi,http://wals.info/languoid/lect/wals_code_bzi,http://wals.info/feature/144R,http://wals.info/refdb/record/Briley-1997[ passim]
Bawm,No SONegV,Reichle 1981[ 54],http://wals.info/valuesets/144R-baw,http://wals.info/languoid/lect/wals_code_baw,http://wals.info/feature/144R,http://wals.info/refdb/record/Reichle-1981[ 54]
Beja,Prefix&NoDoubleNeg,"Hudson 1974[ passim];Reinisch 1893[ 147, 184]",http://wals.info/valuesets/144R-bej,http://wals.info/languoid/lect/wals_code_bej,http://wals.info/feature/144R,"http://wals.info/refdb/record/Hudson-1974[ passim];http://wals.info/refdb/record/Reinisch-1893[ 147, 184]"
Bengali,No SONegV,Dasgupta 2003[ 375],http://wals.info/valuesets/144R-ben,http://wals.info/languoid/lect/wals_code_ben,http://wals.info/feature/144R,http://wals.info/refdb/record/Dasgupta-2003[ 375]
Beria,No SONegV,Crass and Jakobi 2004[ 93-94],http://wals.info/valuesets/144R-zag,http://wals.info/languoid/lect/wals_code_zag,http://wals.info/feature/144R,http://wals.info/refdb/record/Crass-and-Jakobi-2004[ 93-94]
Betoi,No SONegV,,http://wals.info/valuesets/144R-bti,http://wals.info/languoid/lect/wals_code_bti,http://wals.info/feature/144R,
Bhojpuri,Word&NoDoubleNeg,"Shukla 1981[ 152, 309]",http://wals.info/valuesets/144R-bho,http://wals.info/languoid/lect/wals_code_bho,http://wals.info/feature/144R,"http://wals.info/refdb/record/Shukla-1981[ 152, 309]"
Biloxi,Prefix&OnlyWithAnotherNeg,Einaudi 1976[ 86-88],http://wals.info/valuesets/144R-blx,http://wals.info/languoid/lect/wals_code_blx,http://wals.info/feature/144R,http://wals.info/refdb/record/Einaudi-1976[ 86-88]
Bisu,Prefix&NoDoubleNeg,Nishida 1973[ 67],http://wals.info/valuesets/144R-biu,http://wals.info/languoid/lect/wals_code_biu,http://wals.info/feature/144R,http://wals.info/refdb/record/Nishida-1973[ 67]
Boazi,No SONegV,Boelaars 1950[ 144],http://wals.info/valuesets/144R-boa,http://wals.info/languoid/lect/wals_code_boa,http://wals.info/feature/144R,http://wals.info/refdb/record/Boelaars-1950[ 144]
Boko,No SONegV,,http://wals.info/valuesets/144R-bok,http://wals.info/languoid/lect/wals_code_bok,http://wals.info/feature/144R,
Buriat,No SONegV,Poppe 1960[ 56],http://wals.info/valuesets/144R-but,http://wals.info/languoid/lect/wals_code_but,http://wals.info/feature/144R,http://wals.info/refdb/record/Poppe-1960[ 56]
Burmese,Prefix&OnlyWithAnotherNeg,Cornyn and Roop 1968[ 44];Soe 1999[ 144-145];Okell 1969[ passim],http://wals.info/valuesets/144R-brm,http://wals.info/languoid/lect/wals_code_brm,http://wals.info/feature/144R,http://wals.info/refdb/record/Cornyn-and-Roop-1968[ 44];http://wals.info/refdb/record/Soe-1999[ 144-145];http://wals.info/refdb/record/Okell-1969[ passim]
Burushaski,Prefix&NoDoubleNeg,Tiffou and Pesot 1989[ 73];Lorimer 1935[ 305],http://wals.info/valuesets/144R-bur,http://wals.info/languoid/lect/wals_code_bur,http://wals.info/feature/144R,http://wals.info/refdb/record/Tiffou-and-Pesot-1989[ 73];http://wals.info/refdb/record/Lorimer-1935[ 305]
Busa,No SONegV,Wedekind 1972[ 50-52],http://wals.info/valuesets/144R-bus,http://wals.info/languoid/lect/wals_code_bus,http://wals.info/feature/144R,http://wals.info/refdb/record/Wedekind-1972[ 50-52]
Cahuilla,Word&NoDoubleNeg,Seiler 1977[ 200],http://wals.info/valuesets/144R-cah,http://wals.info/languoid/lect/wals_code_cah,http://wals.info/feature/144R,http://wals.info/refdb/record/Seiler-1977[ 200]
Camling,Prefix&OnlyWithAnotherNeg,Ebert 2003[541],http://wals.info/valuesets/144R-cml,http://wals.info/languoid/lect/wals_code_cml,http://wals.info/feature/144R,http://wals.info/refdb/record/Ebert-2003[541]
Candoshi,No SONegV,Cox 1957[ passim],http://wals.info/valuesets/144R-can,http://wals.info/languoid/lect/wals_code_can,http://wals.info/feature/144R,http://wals.info/refdb/record/Cox-1957[ passim]
Canela-Krahô,No SONegV,Popjes and Popjes 1986[ 160],http://wals.info/valuesets/144R-ckr,http://wals.info/languoid/lect/wals_code_ckr,http://wals.info/feature/144R,http://wals.info/refdb/record/Popjes-and-Popjes-1986[ 160]
Carib,No SONegV,Hoff 1968[ 115],http://wals.info/valuesets/144R-car,http://wals.info/languoid/lect/wals_code_car,http://wals.info/feature/144R,http://wals.info/refdb/record/Hoff-1968[ 115]
Carib (De'kwana),No SONegV,Hall 1988[ 156],http://wals.info/valuesets/144R-cde,http://wals.info/languoid/lect/wals_code_cde,http://wals.info/feature/144R,http://wals.info/refdb/record/Hall-1988[ 156]
Cashibo,No SONegV,Abreu 1914[ passim],http://wals.info/valuesets/144R-cas,http://wals.info/languoid/lect/wals_code_cas,http://wals.info/feature/144R,http://wals.info/refdb/record/Abreu-1914[ passim]
Cayapa,No SONegV,Abrahamson 1962[ 233],http://wals.info/valuesets/144R-cay,http://wals.info/languoid/lect/wals_code_cay,http://wals.info/feature/144R,http://wals.info/refdb/record/Abrahamson-1962[ 233]
Chaha,Prefix&NoDoubleNeg,Leslau 1950[ 28-29],http://wals.info/valuesets/144R-chh,http://wals.info/languoid/lect/wals_code_chh,http://wals.info/feature/144R,http://wals.info/refdb/record/Leslau-1950[ 28-29]
Chai,Word&NoDoubleNeg,Last and Lucassen 1998[ 419],http://wals.info/valuesets/144R-cai,http://wals.info/languoid/lect/wals_code_cai,http://wals.info/feature/144R,http://wals.info/refdb/record/Last-and-Lucassen-1998[ 419]
Chambri,Prefix&OnlyWithAnotherNeg,Laycock and Z'graggen 1975[ 756],http://wals.info/valuesets/144R-chb,http://wals.info/languoid/lect/wals_code_chb,http://wals.info/feature/144R,http://wals.info/refdb/record/Laycock-and-Zgraggen-1975[ 756]
Chang,Prefix&NoDoubleNeg,Hutton 1987[ 19],http://wals.info/valuesets/144R-chg,http://wals.info/languoid/lect/wals_code_chg,http://wals.info/feature/144R,http://wals.info/refdb/record/Hutton-1987[ 19]
Chechen,Word&NoDoubleNeg,Nichols 1994a[ 44],http://wals.info/valuesets/144R-chc,http://wals.info/languoid/lect/wals_code_chc,http://wals.info/feature/144R,http://wals.info/refdb/record/Nichols-1994a[ 44]
Chepang,No SONegV,Caughley 1982[ 41],http://wals.info/valuesets/144R-cpn,http://wals.info/languoid/lect/wals_code_cpn,http://wals.info/feature/144R,http://wals.info/refdb/record/Caughley-1982[ 41]
Chipaya,No SONegV,Cerron Palomino 2006[ 241],http://wals.info/valuesets/144R-cpy,http://wals.info/languoid/lect/wals_code_cpy,http://wals.info/feature/144R,http://wals.info/refdb/record/Cerron-Palomino-2006[ 241]
Chipewyan,No SONegV,"Richardson 1968[ 10, passim]",http://wals.info/valuesets/144R-chp,http://wals.info/languoid/lect/wals_code_chp,http://wals.info/feature/144R,"http://wals.info/refdb/record/Richardson-1968[ 10, passim]"
Chitimacha,No SONegV,Swanton 1919[ 18-19],http://wals.info/valuesets/144R-ctm,http://wals.info/languoid/lect/wals_code_ctm,http://wals.info/feature/144R,http://wals.info/refdb/record/Swanton-1919[ 18-19]
Choctaw,No SONegV,Davies 1981c[ 51];Nicklas 1979[ 65],http://wals.info/valuesets/144R-cct,http://wals.info/languoid/lect/wals_code_cct,http://wals.info/feature/144R,http://wals.info/refdb/record/Davies-1981c[ 51];http://wals.info/refdb/record/Nicklas-1979[ 65]
Cholón,No SONegV,Alexander Bakkerus 2005[ 323-324],http://wals.info/valuesets/144R-cln,http://wals.info/languoid/lect/wals_code_cln,http://wals.info/feature/144R,http://wals.info/refdb/record/Alexander-Bakkerus-2005[ 323-324]
Chuvash,No SONegV,Krueger 1961[ 143],http://wals.info/valuesets/144R-chv,http://wals.info/languoid/lect/wals_code_chv,http://wals.info/feature/144R,http://wals.info/refdb/record/Krueger-1961[ 143]
Coahuilteco,No SONegV,Troike 1967[ 328],http://wals.info/valuesets/144R-coa,http://wals.info/languoid/lect/wals_code_coa,http://wals.info/feature/144R,http://wals.info/refdb/record/Troike-1967[ 328]
Comanche,Word&NoDoubleNeg,Charney 1993[ 220],http://wals.info/valuesets/144R-cmn,http://wals.info/languoid/lect/wals_code_cmn,http://wals.info/feature/144R,http://wals.info/refdb/record/Charney-1993[ 220]
Cuiba,No SONegV,Berg and Kerr 1973[ 12],http://wals.info/valuesets/144R-cui,http://wals.info/languoid/lect/wals_code_cui,http://wals.info/feature/144R,http://wals.info/refdb/record/Berg-and-Kerr-1973[ 12]
Cupeño,No SONegV,Hill 2005[ 389],http://wals.info/valuesets/144R-cup,http://wals.info/languoid/lect/wals_code_cup,http://wals.info/feature/144R,http://wals.info/refdb/record/Hill-2005[ 389]
Daga,Word&NoDoubleNeg,"Murane 1974[ 112, 26]",http://wals.info/valuesets/144R-dag,http://wals.info/languoid/lect/wals_code_dag,http://wals.info/feature/144R,"http://wals.info/refdb/record/Murane-1974[ 112, 26]"
Dani (Lower Grand Valley),No SONegV,Bromley 1981[ 321],http://wals.info/valuesets/144R-dni,http://wals.info/languoid/lect/wals_code_dni,http://wals.info/feature/144R,http://wals.info/refdb/record/Bromley-1981[ 321]
Darma,Prefix&NoDoubleNeg,,http://wals.info/valuesets/144R-drm,http://wals.info/languoid/lect/wals_code_drm,http://wals.info/feature/144R,
Desano,No SONegV,Miller 1999[ 7],http://wals.info/valuesets/144R-des,http://wals.info/languoid/lect/wals_code_des,http://wals.info/feature/144R,http://wals.info/refdb/record/Miller-1999[ 7]
Deuri,No SONegV,Brown 1895[ 22];Goswami 1994[ 18],http://wals.info/valuesets/144R-deu,http://wals.info/languoid/lect/wals_code_deu,http://wals.info/feature/144R,http://wals.info/refdb/record/Brown-1895[ 22];http://wals.info/refdb/record/Goswami-1994[ 18]
Dhimal,Prefix&NoDoubleNeg,Cooper 1999[ 31],http://wals.info/valuesets/144R-dhm,http://wals.info/languoid/lect/wals_code_dhm,http://wals.info/feature/144R,http://wals.info/refdb/record/Cooper-1999[ 31]
Diegueño (Mesa Grande),No SONegV,Langdon 1970[ 182],http://wals.info/valuesets/144R-die,http://wals.info/languoid/lect/wals_code_die,http://wals.info/feature/144R,http://wals.info/refdb/record/Langdon-1970[ 182]
Digaro,No SONegV,Sastry 1984[ 160],http://wals.info/valuesets/144R-dig,http://wals.info/languoid/lect/wals_code_dig,http://wals.info/feature/144R,http://wals.info/refdb/record/Sastry-1984[ 160]
Dime,No SONegV,"Fleming 1990[ 546, 560-562]",http://wals.info/valuesets/144R-dim,http://wals.info/languoid/lect/wals_code_dim,http://wals.info/feature/144R,"http://wals.info/refdb/record/Fleming-1990[ 546, 560-562]"
Dinka,No SONegV,"Nebel 1948[ 17, 56-58];Tucker and Bryan 1966[ 430, 437]",http://wals.info/valuesets/144R-din,http://wals.info/languoid/lect/wals_code_din,http://wals.info/feature/144R,"http://wals.info/refdb/record/Nebel-1948[ 17, 56-58];http://wals.info/refdb/record/Tucker-and-Bryan-1966[ 430, 437]"
Djapu,No SONegV,Morphy 1983[ 147],http://wals.info/valuesets/144R-djp,http://wals.info/languoid/lect/wals_code_djp,http://wals.info/feature/144R,http://wals.info/refdb/record/Morphy-1983[ 147]
Djingili,Word&NoDoubleNeg,Chadwick 1975[ 83],http://wals.info/valuesets/144R-dji,http://wals.info/languoid/lect/wals_code_dji,http://wals.info/feature/144R,http://wals.info/refdb/record/Chadwick-1975[ 83]
Donno So,No SONegV,Kervran and Prost 1969[ 65-67],http://wals.info/valuesets/144R-dds,http://wals.info/languoid/lect/wals_code_dds,http://wals.info/feature/144R,http://wals.info/refdb/record/Kervran-and-Prost-1969[ 65-67]
Dumo,No SONegV,Ross 1980[ 99],http://wals.info/valuesets/144R-dum,http://wals.info/languoid/lect/wals_code_dum,http://wals.info/feature/144R,http://wals.info/refdb/record/Ross-1980[ 99]
Duna,Word&OnlyWithAnotherNeg,,http://wals.info/valuesets/144R-dun,http://wals.info/languoid/lect/wals_code_dun,http://wals.info/feature/144R,
Dutch,Word&NoDoubleNeg,Shetter 1958[ passim],http://wals.info/valuesets/144R-dut,http://wals.info/languoid/lect/wals_code_dut,http://wals.info/feature/144R,http://wals.info/refdb/record/Shetter-1958[ passim]
Eipo,Word&NoDoubleNeg,Heeschen 1998[ 222-223],http://wals.info/valuesets/144R-eip,http://wals.info/languoid/lect/wals_code_eip,http://wals.info/feature/144R,http://wals.info/refdb/record/Heeschen-1998[ 222-223]
Émérillon,Prefix&OnlyWithAnotherNeg,Rose 2003b[ 399],http://wals.info/valuesets/144R-eme,http://wals.info/languoid/lect/wals_code_eme,http://wals.info/feature/144R,http://wals.info/refdb/record/Rose-2003b[ 399]
Epena Pedee,No SONegV,"Harms 1994[ 15, 131]",http://wals.info/valuesets/144R-epe,http://wals.info/languoid/lect/wals_code_epe,http://wals.info/feature/144R,"http://wals.info/refdb/record/Harms-1994[ 15, 131]"
Ese Ejja,No SONegV,"Shoemaker and Shoemaker 1967[ 242, passim]",http://wals.info/valuesets/144R-ese,http://wals.info/languoid/lect/wals_code_ese,http://wals.info/feature/144R,"http://wals.info/refdb/record/Shoemaker-and-Shoemaker-1967[ 242, passim]"
Evenki,Word&OnlyWithAnotherNeg,"Nedjalkov 1997[ 97, 269]",http://wals.info/valuesets/144R-eve,http://wals.info/languoid/lect/wals_code_eve,http://wals.info/feature/144R,"http://wals.info/refdb/record/Nedjalkov-1997[ 97, 269]"
Fur,Prefix&OnlyWithAnotherNeg,Beaton 1968[ 95];Jakobi 1990[ 117],http://wals.info/valuesets/144R-fur,http://wals.info/languoid/lect/wals_code_fur,http://wals.info/feature/144R,http://wals.info/refdb/record/Beaton-1968[ 95];http://wals.info/refdb/record/Jakobi-1990[ 117]
Gadsup,Word&NoDoubleNeg,Frantz 1973[ passim],http://wals.info/valuesets/144R-gds,http://wals.info/languoid/lect/wals_code_gds,http://wals.info/feature/144R,http://wals.info/refdb/record/Frantz-1973[ passim]
Gahuku,No SONegV,Deibler 1976[ 8],http://wals.info/valuesets/144R-gah,http://wals.info/languoid/lect/wals_code_gah,http://wals.info/feature/144R,http://wals.info/refdb/record/Deibler-1976[ 8]
Galo,No SONegV,Das Gupta 1963[ 25-26],http://wals.info/valuesets/144R-gal,http://wals.info/languoid/lect/wals_code_gal,http://wals.info/feature/144R,http://wals.info/refdb/record/Das-Gupta-1963[ 25-26]
