LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Abau,Word&NoDoubleNeg,Bailey 1975[ passim],http://wals.info/valuesets/144S-aba,http://wals.info/languoid/lect/wals_code_aba,http://wals.info/feature/144S,http://wals.info/refdb/record/Bailey-1975[ passim]
Abkhaz,Suffix&NoDoubleNeg,Hewitt 1979[ 70],http://wals.info/valuesets/144S-abk,http://wals.info/languoid/lect/wals_code_abk,http://wals.info/feature/144S,http://wals.info/refdb/record/Hewitt-1979[ 70]
Abui,Word&NoDoubleNeg,Kratochvil 2007[ 277],http://wals.info/valuesets/144S-abv,http://wals.info/languoid/lect/wals_code_abv,http://wals.info/feature/144S,http://wals.info/refdb/record/Kratochvil-2007[ 277]
Adang,Word&OptDoubleNeg,"Haan 2001[ 73-74, 220]",http://wals.info/valuesets/144S-adg,http://wals.info/languoid/lect/wals_code_adg,http://wals.info/feature/144S,"http://wals.info/refdb/record/Haan-2001[ 73-74, 220]"
Ainu,NoSOVNeg,Dettmer 1989[ 913];Refsing 1986[ 137];Shibatani 1990[ 24],http://wals.info/valuesets/144S-ain,http://wals.info/languoid/lect/wals_code_ain,http://wals.info/feature/144S,http://wals.info/refdb/record/Dettmer-1989[ 913];http://wals.info/refdb/record/Refsing-1986[ 137];http://wals.info/refdb/record/Shibatani-1990[ 24]
Ajagbe,Word&NoDoubleNeg,"Tchitchi 1984[ 142, 239-240]",http://wals.info/valuesets/144S-ajg,http://wals.info/languoid/lect/wals_code_ajg,http://wals.info/feature/144S,"http://wals.info/refdb/record/Tchitchi-1984[ 142, 239-240]"
Akha,NoSOVNeg,Dellinger 1969[ 162-163];Hansson 2003[ 245],http://wals.info/valuesets/144S-akh,http://wals.info/languoid/lect/wals_code_akh,http://wals.info/feature/144S,http://wals.info/refdb/record/Dellinger-1969[ 162-163];http://wals.info/refdb/record/Hansson-2003[ 245]
Ala'ala,NoSOVNeg,Symonds 1989[ 67];Clunn and Kolia 1977[ 29],http://wals.info/valuesets/144S-all,http://wals.info/languoid/lect/wals_code_all,http://wals.info/feature/144S,http://wals.info/refdb/record/Symonds-1989[ 67];http://wals.info/refdb/record/Clunn-and-Kolia-1977[ 29]
Alamblak,NoSOVNeg,Bruce 1984[ 192-193],http://wals.info/valuesets/144S-ala,http://wals.info/languoid/lect/wals_code_ala,http://wals.info/feature/144S,http://wals.info/refdb/record/Bruce-1984[ 192-193]
Alyawarra,Suffix&NoDoubleNeg,Yallop 1977[ 56],http://wals.info/valuesets/144S-aly,http://wals.info/languoid/lect/wals_code_aly,http://wals.info/feature/144S,http://wals.info/refdb/record/Yallop-1977[ 56]
Amanab,Suffix&OnlyWithAnotherNeg,Minch 1992[ 147],http://wals.info/valuesets/144S-amn,http://wals.info/languoid/lect/wals_code_amn,http://wals.info/feature/144S,http://wals.info/refdb/record/Minch-1992[ 147]
Ambulas,Suffix&NoDoubleNeg,"Wilson 1980[ 160-161, passim]",http://wals.info/valuesets/144S-amb,http://wals.info/languoid/lect/wals_code_amb,http://wals.info/feature/144S,"http://wals.info/refdb/record/Wilson-1980[ 160-161, passim]"
Amele,Suffix&OptDoubleNeg,Roberts 1987[ 110],http://wals.info/valuesets/144S-ame,http://wals.info/languoid/lect/wals_code_ame,http://wals.info/feature/144S,http://wals.info/refdb/record/Roberts-1987[ 110]
Amharic,Suffix&OnlyWithAnotherNeg,"Leslau 1995[ 292, 302];Leslau 1966[ 609-610]",http://wals.info/valuesets/144S-amh,http://wals.info/languoid/lect/wals_code_amh,http://wals.info/feature/144S,"http://wals.info/refdb/record/Leslau-1995[ 292, 302];http://wals.info/refdb/record/Leslau-1966[ 609-610]"
Angami,Word&NoDoubleNeg,Giridhar 1980[ 80],http://wals.info/valuesets/144S-agm,http://wals.info/languoid/lect/wals_code_agm,http://wals.info/feature/144S,http://wals.info/refdb/record/Giridhar-1980[ 80]
Anggor,Suffix&NoDoubleNeg,Litteral 1972[ 76],http://wals.info/valuesets/144S-ang,http://wals.info/languoid/lect/wals_code_ang,http://wals.info/feature/144S,http://wals.info/refdb/record/Litteral-1972[ 76]
Ao,Suffix&OnlyWithAnotherNeg,"Coupe 2007[ 291-292, 341]",http://wals.info/valuesets/144S-ao,http://wals.info/languoid/lect/wals_code_ao,http://wals.info/feature/144S,"http://wals.info/refdb/record/Coupe-2007[ 291-292, 341]"
Apache (Western),Suffix&OnlyWithAnotherNeg,Edgerton 1963[ 134-135],http://wals.info/valuesets/144S-apw,http://wals.info/languoid/lect/wals_code_apw,http://wals.info/feature/144S,http://wals.info/refdb/record/Edgerton-1963[ 134-135]
Apalaí,Suffix&NoDoubleNeg,Koehn and Koehn 1986[ 64],http://wals.info/valuesets/144S-apl,http://wals.info/languoid/lect/wals_code_apl,http://wals.info/feature/144S,http://wals.info/refdb/record/Koehn-and-Koehn-1986[ 64]
Apatani,Suffix&NoDoubleNeg,Abraham 1985[ 108],http://wals.info/valuesets/144S-apt,http://wals.info/languoid/lect/wals_code_apt,http://wals.info/feature/144S,http://wals.info/refdb/record/Abraham-1985[ 108]
