LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Anindilyakwa,VS&VO&Neg[(Neg-)V],"Leeding 1989[ 407, 504-505]",http://wals.info/valuesets/144U-ann,http://wals.info/languoid/lect/wals_code_ann,http://wals.info/feature/144U,"http://wals.info/refdb/record/Leeding-1989[ 407, 504-505]"
Arabic (Moroccan),VS & VO & [Neg-V-Neg],Harrell 1962[ 152],http://wals.info/valuesets/144U-amr,http://wals.info/languoid/lect/wals_code_amr,http://wals.info/feature/144U,http://wals.info/refdb/record/Harrell-1962[ 152]
Barambu,SVO/VSO but [Neg-V]SO(Neg),"Tucker and Bryan 1966[ 155];Santandrea 1965b[ 116, 163, 167]",http://wals.info/valuesets/144U-bbu,http://wals.info/languoid/lect/wals_code_bbu,http://wals.info/feature/144U,"http://wals.info/refdb/record/Tucker-and-Bryan-1966[ 155];http://wals.info/refdb/record/Santandrea-1965b[ 116, 163, 167]"
Cakchiquel,NegVNegOS,"García Matzar and Rodríguez Guaján 1997[ 226, Garcia Matzar]",http://wals.info/valuesets/144U-cak,http://wals.info/languoid/lect/wals_code_cak,http://wals.info/feature/144U,"http://wals.info/refdb/record/Garcia-Matzar-and-Rodriguez-Guajan-1997[ 226, Garcia Matzar]"
Chuj,VOS & NegVNeg,"Buenrostros 1991[ 35, 68]",http://wals.info/valuesets/144U-chj,http://wals.info/languoid/lect/wals_code_chj,http://wals.info/feature/144U,"http://wals.info/refdb/record/Buenrostros-1991[ 35, 68]"
Domari,VS&VO&NegV/[(Neg-)V-Neg],"Macalister 1914[ 27-28, 38, 183]",http://wals.info/valuesets/144U-dom,http://wals.info/languoid/lect/wals_code_dom,http://wals.info/feature/144U,"http://wals.info/refdb/record/Macalister-1914[ 27-28, 38, 183]"
Hdi,VNegSONeg,Frajzyngier and Shay 2002[ 380],http://wals.info/valuesets/144U-hdi,http://wals.info/languoid/lect/wals_code_hdi,http://wals.info/feature/144U,http://wals.info/refdb/record/Frajzyngier-and-Shay-2002[ 380]
Kabyle,NegVNegSO,"Chaker 1983[ 142, 239]",http://wals.info/valuesets/144U-kbl,http://wals.info/languoid/lect/wals_code_kbl,http://wals.info/feature/144U,"http://wals.info/refdb/record/Chaker-1983[ 142, 239]"
Krongo,NegVSONeg,Reh 1985[ 370-374],http://wals.info/valuesets/144U-kro,http://wals.info/languoid/lect/wals_code_kro,http://wals.info/feature/144U,http://wals.info/refdb/record/Reh-1985[ 370-374]
Lamang,V(Neg)SONeg,Wolff 1983[  252- 253],http://wals.info/valuesets/144U-lmg,http://wals.info/languoid/lect/wals_code_lmg,http://wals.info/feature/144U,http://wals.info/refdb/record/Wolff-1983[  252- 253]
Miya,NegVOSNeg/VNegOSNeg/SNegVONeg/SVNegONeg,Schuh 1998[ 280],http://wals.info/valuesets/144U-miy,http://wals.info/languoid/lect/wals_code_miy,http://wals.info/feature/144U,http://wals.info/refdb/record/Schuh-1998[ 280]
Oneida,VS&VO&Neg[(Neg-)V],,http://wals.info/valuesets/144U-ond,http://wals.info/languoid/lect/wals_code_ond,http://wals.info/feature/144U,
Pokot,NegVSO/[Neg-V-Neg]SO,Tucker and Bryan 1966[ 486];Crazzolara 1978[ 108];Baroja 1989[ 232-233],http://wals.info/valuesets/144U-pkt,http://wals.info/languoid/lect/wals_code_pkt,http://wals.info/feature/144U,http://wals.info/refdb/record/Tucker-and-Bryan-1966[ 486];http://wals.info/refdb/record/Crazzolara-1978[ 108];http://wals.info/refdb/record/Baroja-1989[ 232-233]
Rapanui,Neg(Neg)VSO,Du Feu 1996[ 89-91],http://wals.info/valuesets/144U-rap,http://wals.info/languoid/lect/wals_code_rap,http://wals.info/feature/144U,http://wals.info/refdb/record/Du-Feu-1996[ 89-91]
Romani (Welsh),VSO/SVO & (Neg)V(Neg),"Sampson 1926[ 220-221, passim]",http://wals.info/valuesets/144U-rwe,http://wals.info/languoid/lect/wals_code_rwe,http://wals.info/feature/144U,"http://wals.info/refdb/record/Sampson-1926[ 220-221, passim]"
Tamashek,NegVSO&OptStemChange,"Heath 2005[ 309, 335, 587]",http://wals.info/valuesets/144U-tsk,http://wals.info/languoid/lect/wals_code_tsk,http://wals.info/feature/144U,"http://wals.info/refdb/record/Heath-2005[ 309, 335, 587]"
Tsimshian (Coast),NegNegVSO,Dunn 1979[ 73],http://wals.info/valuesets/144U-tsi,http://wals.info/languoid/lect/wals_code_tsi,http://wals.info/feature/144U,http://wals.info/refdb/record/Dunn-1979[ 73]
