LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Agta (Central),"Separate word, no double negation	Word&NoDoubleNeg",Healey 1960[ 90],http://wals.info/valuesets/144V-agc,http://wals.info/languoid/lect/wals_code_agc,http://wals.info/feature/144V,http://wals.info/refdb/record/Healey-1960[ 90]
Agta (Dupaningan),"Separate word, no double negation	Word&NoDoubleNeg",Robinson 2008[ 221],http://wals.info/valuesets/144V-agd,http://wals.info/languoid/lect/wals_code_agd,http://wals.info/feature/144V,http://wals.info/refdb/record/Robinson-2008[ 221]
Alsea,"Separate word, no double negation	Word&NoDoubleNeg",Frachtenberg 1920[ passim],http://wals.info/valuesets/144V-als,http://wals.info/languoid/lect/wals_code_als,http://wals.info/feature/144V,http://wals.info/refdb/record/Frachtenberg-1920[ passim]
Anejom,"Separate word, no double negation	Word&NoDoubleNeg",Lynch 2000[ 96],http://wals.info/valuesets/144V-anj,http://wals.info/languoid/lect/wals_code_anj,http://wals.info/feature/144V,http://wals.info/refdb/record/Lynch-2000[ 96]
Anindilyakwa,Word&Opt,"Leeding 1989[ 407, 504-505]",http://wals.info/valuesets/144V-ann,http://wals.info/languoid/lect/wals_code_ann,http://wals.info/feature/144V,"http://wals.info/refdb/record/Leeding-1989[ 407, 504-505]"
Arabic (Modern Standard),"Separate word, no double negation	Word&NoDoubleNeg",Cowan 1958[ passim],http://wals.info/valuesets/144V-ams,http://wals.info/languoid/lect/wals_code_ams,http://wals.info/feature/144V,http://wals.info/refdb/record/Cowan-1958[ passim]
Arabic (Moroccan),Prefix&OnlyWithAnotherNeg,Harrell 1962[ 152],http://wals.info/valuesets/144V-amr,http://wals.info/languoid/lect/wals_code_amr,http://wals.info/feature/144V,http://wals.info/refdb/record/Harrell-1962[ 152]
Arabic (Syrian),"Separate word, no double negation	Word&NoDoubleNeg",Cowell 1964[ 383],http://wals.info/valuesets/144V-asy,http://wals.info/languoid/lect/wals_code_asy,http://wals.info/feature/144V,http://wals.info/refdb/record/Cowell-1964[ 383]
Atayal,"Separate word, no double negation	Word&NoDoubleNeg","Rau 1992[ 147, 161, 169, 173]",http://wals.info/valuesets/144V-ata,http://wals.info/languoid/lect/wals_code_ata,http://wals.info/feature/144V,"http://wals.info/refdb/record/Rau-1992[ 147, 161, 169, 173]"
Bajau (West Coast),"Separate word, no double negation	Word&NoDoubleNeg",Miller 2007[ 340],http://wals.info/valuesets/144V-bwc,http://wals.info/languoid/lect/wals_code_bwc,http://wals.info/feature/144V,http://wals.info/refdb/record/Miller-2007[ 340]
Barambu,Prefix&OptDoubleNeg,"Tucker and Bryan 1966[ 155];Santandrea 1965b[ 116, 163, 167]",http://wals.info/valuesets/144V-bbu,http://wals.info/languoid/lect/wals_code_bbu,http://wals.info/feature/144V,"http://wals.info/refdb/record/Tucker-and-Bryan-1966[ 155];http://wals.info/refdb/record/Santandrea-1965b[ 116, 163, 167]"
Batak (Karo),"Separate word, no double negation	Word&NoDoubleNeg",Woollams 1996[ 251],http://wals.info/valuesets/144V-bkr,http://wals.info/languoid/lect/wals_code_bkr,http://wals.info/feature/144V,http://wals.info/refdb/record/Woollams-1996[ 251]
Batak (Toba),"Separate word, no double negation	Word&NoDoubleNeg","Nababan 1981[ 116];Percival 1981[ 82, passim]",http://wals.info/valuesets/144V-bto,http://wals.info/languoid/lect/wals_code_bto,http://wals.info/feature/144V,"http://wals.info/refdb/record/Nababan-1981[ 116];http://wals.info/refdb/record/Percival-1981[ 82, passim]"
Baure,"Separate word, no double negation	Word&NoDoubleNeg",Baptista and Wallin 1967[ 36],http://wals.info/valuesets/144V-baq,http://wals.info/languoid/lect/wals_code_baq,http://wals.info/feature/144V,http://wals.info/refdb/record/Baptista-and-Wallin-1967[ 36]
Bella Coola,"Separate word, no double negation	Word&NoDoubleNeg",Nater 1984[ 122];Davis and Saunders 1980[ passim],http://wals.info/valuesets/144V-bco,http://wals.info/languoid/lect/wals_code_bco,http://wals.info/feature/144V,http://wals.info/refdb/record/Nater-1984[ 122];http://wals.info/refdb/record/Davis-and-Saunders-1980[ passim]
Berber (Chaouia),"Separate word, no double negation	Word&NoDoubleNeg",Penchoen 1973a[ 50],http://wals.info/valuesets/144V-bch,http://wals.info/languoid/lect/wals_code_bch,http://wals.info/feature/144V,http://wals.info/refdb/record/Penchoen-1973a[ 50]
Berber (Figuig),"Separate word, no double negation	Word&NoDoubleNeg","Kossmann 1997[ 270, 275, 358]",http://wals.info/valuesets/144V-bfg,http://wals.info/languoid/lect/wals_code_bfg,http://wals.info/feature/144V,"http://wals.info/refdb/record/Kossmann-1997[ 270, 275, 358]"
Bontok,"Separate word, no double negation	Word&NoDoubleNeg",Seidenadel 1909[ 139];Waterman 1932[ 85],http://wals.info/valuesets/144V-btk,http://wals.info/languoid/lect/wals_code_btk,http://wals.info/feature/144V,http://wals.info/refdb/record/Seidenadel-1909[ 139];http://wals.info/refdb/record/Waterman-1932[ 85]
Cakchiquel,Word&OnlyWithAnotherNeg,"García Matzar and Rodríguez Guaján 1997[ 226, Garcia Matzar]",http://wals.info/valuesets/144V-cak,http://wals.info/languoid/lect/wals_code_cak,http://wals.info/feature/144V,"http://wals.info/refdb/record/Garcia-Matzar-and-Rodriguez-Guajan-1997[ 226, Garcia Matzar]"
Cayuvava,"Prefix, no double negation	Prefix&NoDoubleNeg","Key 1967[ 30, passim]",http://wals.info/valuesets/144V-cyv,http://wals.info/languoid/lect/wals_code_cyv,http://wals.info/feature/144V,"http://wals.info/refdb/record/Key-1967[ 30, passim]"
Cèmuhî,"Separate word, no double negation	Word&NoDoubleNeg",Lynch 2002c[ 762],http://wals.info/valuesets/144V-cem,http://wals.info/languoid/lect/wals_code_cem,http://wals.info/feature/144V,http://wals.info/refdb/record/Lynch-2002c[ 762]
