LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Agta (Central),None,Healey 1960[ 90],http://wals.info/valuesets/144W-agc,http://wals.info/languoid/lect/wals_code_agc,http://wals.info/feature/144W,http://wals.info/refdb/record/Healey-1960[ 90]
Agta (Dupaningan),None,Robinson 2008[ 221],http://wals.info/valuesets/144W-agd,http://wals.info/languoid/lect/wals_code_agd,http://wals.info/feature/144W,http://wals.info/refdb/record/Robinson-2008[ 221]
Alsea,None,Frachtenberg 1920[ passim],http://wals.info/valuesets/144W-als,http://wals.info/languoid/lect/wals_code_als,http://wals.info/feature/144W,http://wals.info/refdb/record/Frachtenberg-1920[ passim]
Anejom,None,Lynch 2000[ 96],http://wals.info/valuesets/144W-anj,http://wals.info/languoid/lect/wals_code_anj,http://wals.info/feature/144W,http://wals.info/refdb/record/Lynch-2000[ 96]
Anindilyakwa,None,"Leeding 1989[ 407, 504-505]",http://wals.info/valuesets/144W-ann,http://wals.info/languoid/lect/wals_code_ann,http://wals.info/feature/144W,"http://wals.info/refdb/record/Leeding-1989[ 407, 504-505]"
Arabic (Modern Standard),None,Cowan 1958[ passim],http://wals.info/valuesets/144W-ams,http://wals.info/languoid/lect/wals_code_ams,http://wals.info/feature/144W,http://wals.info/refdb/record/Cowan-1958[ passim]
Arabic (Moroccan),Suffix&OnlyWithAnotherNeg,Harrell 1962[ 152],http://wals.info/valuesets/144W-amr,http://wals.info/languoid/lect/wals_code_amr,http://wals.info/feature/144W,http://wals.info/refdb/record/Harrell-1962[ 152]
Arabic (Syrian),None,Cowell 1964[ 383],http://wals.info/valuesets/144W-asy,http://wals.info/languoid/lect/wals_code_asy,http://wals.info/feature/144W,http://wals.info/refdb/record/Cowell-1964[ 383]
Atayal,None,"Rau 1992[ 147, 161, 169, 173]",http://wals.info/valuesets/144W-ata,http://wals.info/languoid/lect/wals_code_ata,http://wals.info/feature/144W,"http://wals.info/refdb/record/Rau-1992[ 147, 161, 169, 173]"
Bajau (West Coast),None,Miller 2007[ 340],http://wals.info/valuesets/144W-bwc,http://wals.info/languoid/lect/wals_code_bwc,http://wals.info/feature/144W,http://wals.info/refdb/record/Miller-2007[ 340]
