LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Agta (Central),No clause-final neg,Healey 1960[ 90],http://wals.info/valuesets/144X-agc,http://wals.info/languoid/lect/wals_code_agc,http://wals.info/feature/144X,http://wals.info/refdb/record/Healey-1960[ 90]
Agta (Dupaningan),No clause-final neg,Robinson 2008[ 221],http://wals.info/valuesets/144X-agd,http://wals.info/languoid/lect/wals_code_agd,http://wals.info/feature/144X,http://wals.info/refdb/record/Robinson-2008[ 221]
Alsea,No clause-final neg,Frachtenberg 1920[ passim],http://wals.info/valuesets/144X-als,http://wals.info/languoid/lect/wals_code_als,http://wals.info/feature/144X,http://wals.info/refdb/record/Frachtenberg-1920[ passim]
Anejom,No clause-final neg,Lynch 2000[ 96],http://wals.info/valuesets/144X-anj,http://wals.info/languoid/lect/wals_code_anj,http://wals.info/feature/144X,http://wals.info/refdb/record/Lynch-2000[ 96]
Anindilyakwa,No clause-final neg,"Leeding 1989[ 407, 504-505]",http://wals.info/valuesets/144X-ann,http://wals.info/languoid/lect/wals_code_ann,http://wals.info/feature/144X,"http://wals.info/refdb/record/Leeding-1989[ 407, 504-505]"
Arabic (Modern Standard),No clause-final neg,Cowan 1958[ passim],http://wals.info/valuesets/144X-ams,http://wals.info/languoid/lect/wals_code_ams,http://wals.info/feature/144X,http://wals.info/refdb/record/Cowan-1958[ passim]
Arabic (Moroccan),No clause-final neg,Harrell 1962[ 152],http://wals.info/valuesets/144X-amr,http://wals.info/languoid/lect/wals_code_amr,http://wals.info/feature/144X,http://wals.info/refdb/record/Harrell-1962[ 152]
Arabic (Syrian),No clause-final neg,Cowell 1964[ 383],http://wals.info/valuesets/144X-asy,http://wals.info/languoid/lect/wals_code_asy,http://wals.info/feature/144X,http://wals.info/refdb/record/Cowell-1964[ 383]
Atayal,No clause-final neg,"Rau 1992[ 147, 161, 169, 173]",http://wals.info/valuesets/144X-ata,http://wals.info/languoid/lect/wals_code_ata,http://wals.info/feature/144X,"http://wals.info/refdb/record/Rau-1992[ 147, 161, 169, 173]"
Bajau (West Coast),No clause-final neg,Miller 2007[ 340],http://wals.info/valuesets/144X-bwc,http://wals.info/languoid/lect/wals_code_bwc,http://wals.info/feature/144X,http://wals.info/refdb/record/Miller-2007[ 340]
