LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Aari,Noun-Relative clause (NRel) dominant,Hayward 1990a[ 485],http://wals.info/valuesets/90C-aar,http://wals.info/languoid/lect/wals_code_aar,http://wals.info/feature/90C,http://wals.info/refdb/record/Hayward-1990a[ 485]
Abipón,Noun-Relative clause (NRel) dominant,Najlis 1966[ 88],http://wals.info/valuesets/90C-abi,http://wals.info/languoid/lect/wals_code_abi,http://wals.info/feature/90C,http://wals.info/refdb/record/Najlis-1966[ 88]
Abui,Noun-Relative clause (NRel) dominant,Kratochvil 2007[ 169-174],http://wals.info/valuesets/90C-abv,http://wals.info/languoid/lect/wals_code_abv,http://wals.info/feature/90C,http://wals.info/refdb/record/Kratochvil-2007[ 169-174]
Abun,Noun-Relative clause (NRel) dominant,Berry 1995b[ 107-109];Berry 1995a[ 46ff],http://wals.info/valuesets/90C-abu,http://wals.info/languoid/lect/wals_code_abu,http://wals.info/feature/90C,http://wals.info/refdb/record/Berry-1995b[ 107-109];http://wals.info/refdb/record/Berry-1995a[ 46ff]
Acehnese,Noun-Relative clause (NRel) dominant,Durie 1985[ 231],http://wals.info/valuesets/90C-ace,http://wals.info/languoid/lect/wals_code_ace,http://wals.info/feature/90C,http://wals.info/refdb/record/Durie-1985[ 231]
Achagua,Noun-Relative clause (NRel) dominant,Wilson and Levinsohn 1992[ 7],http://wals.info/valuesets/90C-acg,http://wals.info/languoid/lect/wals_code_acg,http://wals.info/feature/90C,http://wals.info/refdb/record/Wilson-and-Levinsohn-1992[ 7]
Acholi,Noun-Relative clause (NRel) dominant,Crazzolara 1955[ 94],http://wals.info/valuesets/90C-acl,http://wals.info/languoid/lect/wals_code_acl,http://wals.info/feature/90C,http://wals.info/refdb/record/Crazzolara-1955[ 94]
Adioukrou,Noun-Relative clause (NRel) dominant,Herault 1978[ passim],http://wals.info/valuesets/90C-adi,http://wals.info/languoid/lect/wals_code_adi,http://wals.info/feature/90C,http://wals.info/refdb/record/Herault-1978[ passim]
Adzera,Noun-Relative clause (NRel) dominant,Holzknecht 1986[ 111],http://wals.info/valuesets/90C-adz,http://wals.info/languoid/lect/wals_code_adz,http://wals.info/feature/90C,http://wals.info/refdb/record/Holzknecht-1986[ 111]
Ajagbe,Noun-Relative clause (NRel) dominant,Tchitchi 1984[ 357-358],http://wals.info/valuesets/90C-ajg,http://wals.info/languoid/lect/wals_code_ajg,http://wals.info/feature/90C,http://wals.info/refdb/record/Tchitchi-1984[ 357-358]
