LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Amdo (Themchen),Internally-headed or RelN,Haller 2004[ 158],http://wals.info/valuesets/90D-amt,http://wals.info/languoid/lect/wals_code_amt,http://wals.info/feature/90D,http://wals.info/refdb/record/Haller-2004[ 158]
Ao,Internally-headed or RelN,Clark 1893[ 14],http://wals.info/valuesets/90D-ao,http://wals.info/languoid/lect/wals_code_ao,http://wals.info/feature/90D,http://wals.info/refdb/record/Clark-1893[ 14]
Athpare,Internally-headed occurs as nondominant type,"Ebert 1997b[ 108, 144, 145]",http://wals.info/valuesets/90D-ath,http://wals.info/languoid/lect/wals_code_ath,http://wals.info/feature/90D,"http://wals.info/refdb/record/Ebert-1997b[ 108, 144, 145]"
Bawm,Internally-headed or RelN,"Reichle 1981[ 90-103, 139]",http://wals.info/valuesets/90D-baw,http://wals.info/languoid/lect/wals_code_baw,http://wals.info/feature/90D,"http://wals.info/refdb/record/Reichle-1981[ 90-103, 139]"
Belhare,Internally-headed occurs as nondominant type,Bickel 2003[ 566],http://wals.info/valuesets/90D-bel,http://wals.info/languoid/lect/wals_code_bel,http://wals.info/feature/90D,http://wals.info/refdb/record/Bickel-2003[ 566]
Byansi,Internally-headed or RelN,"Trivedi 1991[ 149, 151-152, 160-161]",http://wals.info/valuesets/90D-bya,http://wals.info/languoid/lect/wals_code_bya,http://wals.info/feature/90D,"http://wals.info/refdb/record/Trivedi-1991[ 149, 151-152, 160-161]"
Canela-Krahô,Internally-headed or NRel,Popjes and Popjes 1986[ 171],http://wals.info/valuesets/90D-ckr,http://wals.info/languoid/lect/wals_code_ckr,http://wals.info/feature/90D,http://wals.info/refdb/record/Popjes-and-Popjes-1986[ 171]
Chang,Internally-headed or RelN,"Hutton 1987[ 16, 48]",http://wals.info/valuesets/90D-chg,http://wals.info/languoid/lect/wals_code_chg,http://wals.info/feature/90D,"http://wals.info/refdb/record/Hutton-1987[ 16, 48]"
Chimariko,Internally-headed relative clause dominant,,http://wals.info/valuesets/90D-chi,http://wals.info/languoid/lect/wals_code_chi,http://wals.info/feature/90D,
Chin (Mara),Internally-headed relative clause dominant,Savidge 1908[ 11];Lorrain 1951[ 15-16],http://wals.info/valuesets/90D-cmr,http://wals.info/languoid/lect/wals_code_cmr,http://wals.info/feature/90D,http://wals.info/refdb/record/Savidge-1908[ 11];http://wals.info/refdb/record/Lorrain-1951[ 15-16]
Chin (Tiddim),Internally-headed exists,Henderson 1965[ passim],http://wals.info/valuesets/90D-cti,http://wals.info/languoid/lect/wals_code_cti,http://wals.info/feature/90D,http://wals.info/refdb/record/Henderson-1965[ passim]
Choctaw,Internally-headed relative clause dominant,Nicklas 1979[ 25],http://wals.info/valuesets/90D-cct,http://wals.info/languoid/lect/wals_code_cct,http://wals.info/feature/90D,http://wals.info/refdb/record/Nicklas-1979[ 25]
Diegueño (Mesa Grande),Internally-headed relative clause dominant,Gorbet 1976[ 43ff];Couro and Langdon 1975[ 187],http://wals.info/valuesets/90D-die,http://wals.info/languoid/lect/wals_code_die,http://wals.info/feature/90D,http://wals.info/refdb/record/Gorbet-1976[ 43ff];http://wals.info/refdb/record/Couro-and-Langdon-1975[ 187]
Dla (Menggwa),Internally-headed or RelN,de Sousa 2006[passim],http://wals.info/valuesets/90D-dlm,http://wals.info/languoid/lect/wals_code_dlm,http://wals.info/feature/90D,http://wals.info/refdb/record/de-Sousa-2006[passim]
Donno So,Internally-headed relative clause dominant,Kervran and Prost 1969[ 118-121],http://wals.info/valuesets/90D-dds,http://wals.info/languoid/lect/wals_code_dds,http://wals.info/feature/90D,http://wals.info/refdb/record/Kervran-and-Prost-1969[ 118-121]
Epena Pedee,Internally-headed relative clause dominant,"Harms 1994[ 14, 166]",http://wals.info/valuesets/90D-epe,http://wals.info/languoid/lect/wals_code_epe,http://wals.info/feature/90D,"http://wals.info/refdb/record/Harms-1994[ 14, 166]"
Even,Internally-headed occurs as nondominant type,Benzing 1955[ Malchukov 1996],http://wals.info/valuesets/90D-evn,http://wals.info/languoid/lect/wals_code_evn,http://wals.info/feature/90D,http://wals.info/refdb/record/Benzing-1955[ Malchukov 1996]
Evenki,Internally-headed occurs as nondominant type,"Nedjalkov 1997[ 36, 82, Malchukov 1996]",http://wals.info/valuesets/90D-eve,http://wals.info/languoid/lect/wals_code_eve,http://wals.info/feature/90D,"http://wals.info/refdb/record/Nedjalkov-1997[ 36, 82, Malchukov 1996]"
Gumawana,Internally-headed or NRel,Olson 1988[ 91-93],http://wals.info/valuesets/90D-gmw,http://wals.info/languoid/lect/wals_code_gmw,http://wals.info/feature/90D,http://wals.info/refdb/record/Olson-1988[ 91-93]
Haida,Internally-headed relative clause dominant,Enrico 2003[ 564ff],http://wals.info/valuesets/90D-hai,http://wals.info/languoid/lect/wals_code_hai,http://wals.info/feature/90D,http://wals.info/refdb/record/Enrico-2003[ 564ff]
Haruai,Internally-headed or RelN,,http://wals.info/valuesets/90D-har,http://wals.info/languoid/lect/wals_code_har,http://wals.info/feature/90D,
Ika,Internally-headed relative clause dominant,Frank 1990[ 100-101],http://wals.info/valuesets/90D-ika,http://wals.info/languoid/lect/wals_code_ika,http://wals.info/feature/90D,http://wals.info/refdb/record/Frank-1990[ 100-101]
Imonda,Internally-headed or RelN,Seiler 1985[ 65-66],http://wals.info/valuesets/90D-imo,http://wals.info/languoid/lect/wals_code_imo,http://wals.info/feature/90D,http://wals.info/refdb/record/Seiler-1985[ 65-66]
Jamsay,Internally-headed or double-headed,Heath 2008[479-480],http://wals.info/valuesets/90D-jms,http://wals.info/languoid/lect/wals_code_jms,http://wals.info/feature/90D,http://wals.info/refdb/record/Heath-2008[479-480]
Japanese,Internally-headed occurs as nondominant type,"Shibatani 1990[ 257];Hinds 1986[ 59, 61]",http://wals.info/valuesets/90D-jpn,http://wals.info/languoid/lect/wals_code_jpn,http://wals.info/feature/90D,"http://wals.info/refdb/record/Shibatani-1990[ 257];http://wals.info/refdb/record/Hinds-1986[ 59, 61]"
Kewa,Internally-headed or RelN,"Franklin 1971[ 77-78, 92]",http://wals.info/valuesets/90D-kew,http://wals.info/languoid/lect/wals_code_kew,http://wals.info/feature/90D,"http://wals.info/refdb/record/Franklin-1971[ 77-78, 92]"
Kham (Dege),Internally-headed occurs as nondominant type,Häsler 1999[ 238],http://wals.info/valuesets/90D-khd,http://wals.info/languoid/lect/wals_code_khd,http://wals.info/feature/90D,http://wals.info/refdb/record/Hasler-1999[ 238]
Kiowa,Internally-headed relative clause dominant,Watkins 1984[ 230-233],http://wals.info/valuesets/90D-kio,http://wals.info/languoid/lect/wals_code_kio,http://wals.info/feature/90D,http://wals.info/refdb/record/Watkins-1984[ 230-233]
