LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Bambara,Correlative relative clause dominant,Bird and Kante 1976[ 9],http://wals.info/valuesets/90E-bam,http://wals.info/languoid/lect/wals_code_bam,http://wals.info/feature/90E,http://wals.info/refdb/record/Bird-and-Kante-1976[ 9]
Bodo,Correlative or RelN,,http://wals.info/valuesets/90E-bod,http://wals.info/languoid/lect/wals_code_bod,http://wals.info/feature/90E,
Darma,Correlative or RelN,,http://wals.info/valuesets/90E-drm,http://wals.info/languoid/lect/wals_code_drm,http://wals.info/feature/90E,
Hindi,Correlative relative clause dominant,"McGregor 1977[ 46-47, 82]",http://wals.info/valuesets/90E-hin,http://wals.info/languoid/lect/wals_code_hin,http://wals.info/feature/90E,"http://wals.info/refdb/record/McGregor-1977[ 46-47, 82]"
Kanashi,Correlative exists,Sharma 1992[ 399],http://wals.info/valuesets/90E-xns,http://wals.info/languoid/lect/wals_code_xns,http://wals.info/feature/90E,http://wals.info/refdb/record/Sharma-1992[ 399]
Kannada,Correlative or RelN,"Bright 1958[ 39];Sridhar 1990[ 47-54, 98];Schiffman 1983[ 130-133]",http://wals.info/valuesets/90E-knd,http://wals.info/languoid/lect/wals_code_knd,http://wals.info/feature/90E,"http://wals.info/refdb/record/Bright-1958[ 39];http://wals.info/refdb/record/Sridhar-1990[ 47-54, 98];http://wals.info/refdb/record/Schiffman-1983[ 130-133]"
Kashmiri,Correlative or NRel,Wali and Koul 1997[ 54-55],http://wals.info/valuesets/90E-kas,http://wals.info/languoid/lect/wals_code_kas,http://wals.info/feature/90E,http://wals.info/refdb/record/Wali-and-Koul-1997[ 54-55]
Kharia,Correlative or RelN,,http://wals.info/valuesets/90E-khr,http://wals.info/languoid/lect/wals_code_khr,http://wals.info/feature/90E,
Kyirong,Correlative or RelN,Huber 2005[ 177],http://wals.info/valuesets/90E-kgy,http://wals.info/languoid/lect/wals_code_kgy,http://wals.info/feature/90E,http://wals.info/refdb/record/Huber-2005[ 177]
Maithili,Correlative or NRel,Yadav 1996[ 354],http://wals.info/valuesets/90E-mai,http://wals.info/languoid/lect/wals_code_mai,http://wals.info/feature/90E,http://wals.info/refdb/record/Yadav-1996[ 354]
Mauka,Correlative relative clause dominant,"Ebermann 1986a[ 78, 178-179]",http://wals.info/valuesets/90E-mka,http://wals.info/languoid/lect/wals_code_mka,http://wals.info/feature/90E,"http://wals.info/refdb/record/Ebermann-1986a[ 78, 178-179]"
Newar (Dolakha),Correlative as nondominant type,"Genetti 1990[ 224, 228-229, 260-263]",http://wals.info/valuesets/90E-nwd,http://wals.info/languoid/lect/wals_code_nwd,http://wals.info/feature/90E,"http://wals.info/refdb/record/Genetti-1990[ 224, 228-229, 260-263]"
Ngiyambaa,Correlative or adjoined,Donaldson 1980[ 297-299],http://wals.info/valuesets/90E-ngi,http://wals.info/languoid/lect/wals_code_ngi,http://wals.info/feature/90E,http://wals.info/refdb/record/Donaldson-1980[ 297-299]
Oriya,Correlative relative clause dominant,Ray 2003[ 470],http://wals.info/valuesets/90E-oya,http://wals.info/languoid/lect/wals_code_oya,http://wals.info/feature/90E,http://wals.info/refdb/record/Ray-2003[ 470]
Quechua (Imbabura),Correlative as nondominant type,Cole 1982[ 49],http://wals.info/valuesets/90E-qim,http://wals.info/languoid/lect/wals_code_qim,http://wals.info/feature/90E,http://wals.info/refdb/record/Cole-1982[ 49]
Santali,Correlative or RelN,Neukom 2001[ 197-201],http://wals.info/valuesets/90E-stl,http://wals.info/languoid/lect/wals_code_stl,http://wals.info/feature/90E,http://wals.info/refdb/record/Neukom-2001[ 197-201]
Sanuma,Correlative or internally-headed,Borgman 1990[ 133-144],http://wals.info/valuesets/90E-snm,http://wals.info/languoid/lect/wals_code_snm,http://wals.info/feature/90E,http://wals.info/refdb/record/Borgman-1990[ 133-144]
Shekhawati,Correlative or RelN,Gusain 2001[ 60],http://wals.info/valuesets/90E-skw,http://wals.info/languoid/lect/wals_code_skw,http://wals.info/feature/90E,http://wals.info/refdb/record/Gusain-2001[ 60]
Supyire,Correlative relative clause dominant,Carlson 1994[ 488ff],http://wals.info/valuesets/90E-sup,http://wals.info/languoid/lect/wals_code_sup,http://wals.info/feature/90E,http://wals.info/refdb/record/Carlson-1994[ 488ff]
Urdu,Correlative relative clause dominant,Bender 1967[ passim],http://wals.info/valuesets/90E-urd,http://wals.info/languoid/lect/wals_code_urd,http://wals.info/feature/90E,http://wals.info/refdb/record/Bender-1967[ passim]
Vai,Correlative relative clause dominant,Welmers 1976[ 124],http://wals.info/valuesets/90E-vai,http://wals.info/languoid/lect/wals_code_vai,http://wals.info/feature/90E,http://wals.info/refdb/record/Welmers-1976[ 124]
Xasonga,Correlative or adjoined,Koite-Herschel 1981-1982[ 223-228],http://wals.info/valuesets/90E-xas,http://wals.info/languoid/lect/wals_code_xas,http://wals.info/feature/90E,http://wals.info/refdb/record/Koite-Herschel-1981-1982[ 223-228]
Yukaghir (Kolyma),Correlative as nondominant type,"Maslova 1999[ 10, 14, 179-180, 350, 506ff, 642]",http://wals.info/valuesets/90E-yko,http://wals.info/languoid/lect/wals_code_yko,http://wals.info/feature/90E,"http://wals.info/refdb/record/Maslova-1999[ 10, 14, 179-180, 350, 506ff, 642]"
