LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Diyari,Adjoined relative clause dominant,Austin 1981[ 210],http://wals.info/valuesets/90F-diy,http://wals.info/languoid/lect/wals_code_diy,http://wals.info/feature/90F,http://wals.info/refdb/record/Austin-1981[ 210]
Kuikúro,Adjoined relative clause dominant,,http://wals.info/valuesets/90F-kkq,http://wals.info/languoid/lect/wals_code_kkq,http://wals.info/feature/90F,
Kuku-Yalanji,Adjoined relative clause dominant,Patz 2002[ 181-182],http://wals.info/valuesets/90F-kya,http://wals.info/languoid/lect/wals_code_kya,http://wals.info/feature/90F,http://wals.info/refdb/record/Patz-2002[ 181-182]
Martuthunira,Adjoined relative clause dominant,Dench 1995[ 240],http://wals.info/valuesets/90F-mrt,http://wals.info/languoid/lect/wals_code_mrt,http://wals.info/feature/90F,http://wals.info/refdb/record/Dench-1995[ 240]
Mekens,Adjoined relative clause dominant,Galucio 2001[ 203],http://wals.info/valuesets/90F-mek,http://wals.info/languoid/lect/wals_code_mek,http://wals.info/feature/90F,http://wals.info/refdb/record/Galucio-2001[ 203]
Ngankikurungkurr,Adjoined relative clause dominant,Hoddinott and Kofod 1988[ 217],http://wals.info/valuesets/90F-ngk,http://wals.info/languoid/lect/wals_code_ngk,http://wals.info/feature/90F,http://wals.info/refdb/record/Hoddinott-and-Kofod-1988[ 217]
Ngiyambaa,Adjoined or correlative,Donaldson 1980[ 297-299],http://wals.info/valuesets/90F-ngi,http://wals.info/languoid/lect/wals_code_ngi,http://wals.info/feature/90F,http://wals.info/refdb/record/Donaldson-1980[ 297-299]
Warlpiri,Adjoined relative clause dominant,Capell 1962b[ Hale 1976],http://wals.info/valuesets/90F-wrl,http://wals.info/languoid/lect/wals_code_wrl,http://wals.info/feature/90F,http://wals.info/refdb/record/Capell-1962b[ Hale 1976]
Xasonga,Adjoined or correlative,Koite-Herschel 1981-1982[ 223-228],http://wals.info/valuesets/90F-xas,http://wals.info/languoid/lect/wals_code_xas,http://wals.info/feature/90F,http://wals.info/refdb/record/Koite-Herschel-1981-1982[ 223-228]
Yidiny,Adjoined relative clause dominant,Dixon 1977a[ 330],http://wals.info/valuesets/90F-yid,http://wals.info/languoid/lect/wals_code_yid,http://wals.info/feature/90F,http://wals.info/refdb/record/Dixon-1977a[ 330]
