wals code	name	value	description	latitude	longitude	genus	family	area
aar	Aari	2	Strongly suffixing	6.0	36.5833333333	South Omotic	Afro-Asiatic	Morphology
abi	Abipón	2	Strongly suffixing	-29.0	-61.0	Guaicuruan	Guaicuruan	Morphology
abk	Abkhaz	4	Equal prefixing and suffixing	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Morphology
abv	Abui	4	Equal prefixing and suffixing	-8.25	124.666666667	Greater Alor	Timor-Alor-Pantar	Morphology
abu	Abun	1	Little affixation	-0.5	132.5	North-Central Bird's Head	West Papuan	Morphology
ace	Acehnese	1	Little affixation	5.5	95.5	Malayo-Sumbawan	Austronesian	Morphology
acg	Achagua	4	Equal prefixing and suffixing	4.41666666667	-72.25	Northern Arawakan	Arawakan	Morphology
acl	Acholi	4	Equal prefixing and suffixing	3.0	32.6666666667	Nilotic	Nilo-Saharan	Morphology
acu	Achuar	2	Strongly suffixing	-2.66667	-76.0	Jivaroan	Jivaroan	Morphology
aco	Acoma	4	Equal prefixing and suffixing	34.9166666667	-107.583333333	Keresan	Keresan	Morphology
adg	Adang	1	Little affixation	-8.2	124.0	Greater Alor	Timor-Alor-Pantar	Morphology
adi	Adioukrou	5	Weakly prefixing	5.41666666667	-4.58333333333	Kwa	Niger-Congo	Morphology
adn	Adynyamathanha	2	Strongly suffixing	-30.5	139.5	Pama-Nyungan	Australian	Morphology
aga	Agarabi	3	Weakly suffixing	-6.16666666667	146.0	Eastern Highlands	Trans-New Guinea	Morphology
agc	Agta (Central)	2	Strongly suffixing	17.9666666667	121.833333333	Greater Central Philippine	Austronesian	Morphology
ain	Ainu	4	Equal prefixing and suffixing	43.0	143.0	Ainu	Ainu	Morphology
akn	Akan	6	Strong prefixing	6.5	-1.25	Kwa	Niger-Congo	Morphology
akh	Akha	1	Little affixation	21.8333333333	99.8333333333	Burmese-Lolo	Sino-Tibetan	Morphology
all	Ala'ala	4	Equal prefixing and suffixing	-8.91666666667	146.75	Oceanic	Austronesian	Morphology
ala	Alamblak	2	Strongly suffixing	-4.66666666667	143.333333333	Sepik Hill	Sepik	Morphology
alw	Alawa	2	Strongly suffixing	-15.1666666667	134.25	Maran	Australian	Morphology
alb	Albanian	2	Strongly suffixing	41.0	20.0	Albanian	Indo-European	Morphology
ale	Aleut	2	Strongly suffixing	54.0	-166.0	Aleut	Eskimo-Aleut	Morphology
aln	Alune	4	Equal prefixing and suffixing	-3.0	128.333333333	Central Malayo-Polynesian	Austronesian	Morphology
